"x","y","Epi-mesenchymal cells","Vascular endothelial cells","Immature myocardial cells","Endocardial cells","Erythrocytes","Cardiomyocytes","Mural cells","TMSB4X high cells","Fibroblast cells","Epi-epithelial cells","Valve cells","Macrophages"
16790,13596,0.0458428133234285,0.0968462599169401,0.294036999884412,0.114676738819957,0.0343902943690043,0.121707993219628,0.0397290288196852,0.0140964352440373,0.0647165204460037,0.0579687715275194,0.0916060788097128,0.0243820656196725
16103,16250,0.0508188209913283,0.134726240585289,0.287502633865884,0.0662660392367354,0.0624116949978792,0.211837954308555,0.0204090269578887,0.021154235509747,0.0293279650556512,0.0185699735804448,0.066708054722957,0.0302673601876402
18589,12387,0.0792589965376019,0.0546452530987757,0.128953679779314,0.0445598686110181,0.0341370858782799,0.0407010204846518,0.0793149195993895,0.0269739801117255,0.15834180502576,0.239728223120647,0.0900164346560502,0.0233687330967868
8477,14095,0.0645556973674568,0.138030096252901,0.272714930491202,0.0594190111496808,0.0968496204014939,0.215130192740384,0.0249228778445234,0.0113394404144511,0.031665359641779,0.014987568262069,0.0540378468611117,0.0163473585729473
14165,17218,0.0557129601700656,0.120078728966346,0.135268439105835,0.113167339732145,0.0779033567887602,0.11002172943739,0.0294445775190088,0.0430162206590662,0.0372600598420835,0.0401460712809902,0.219677668477246,0.0183028480210643
13596,9986,0.0712532084637504,0.126095580122595,0.23623286948284,0.113444542703823,0.0723828016672822,0.128823881354029,0.0393677196195693,0.0274341934561088,0.0628082437986113,0.0239438204783381,0.0682696007485264,0.0299435381045274
15273,17216,0.0569399333318594,0.148627313594028,0.195548467985263,0.0630154866539655,0.0206160995414255,0.133229600678829,0.0653985639207318,0.0762477542240443,0.0508710105774991,0.042933982686692,0.114733529526581,0.0318382572790824
10840,17707,0.0337764750160688,0.290584761260175,0.214718017112398,0.0835539920581076,0.000606231479961225,0.149303435239769,0.0513487045671571,0.0714633178472925,0.0291405388156219,0.00348964932760641,0.033907466452527,0.0381074108233162
12364,17463,0.0546421149960793,0.0938527875685151,0.175954190297792,0.171375707903979,0.0192652229890778,0.145103637910451,0.0657016408216258,0.0510315150994761,0.107600022078322,0.0191116445747081,0.0853480543461678,0.0110134614138064
11938,12401,0.0524229475606731,0.150024462376947,0.220820875211234,0.119587730868519,0.047817120588927,0.0772702711863937,0.0623535942186396,0.0307392322828891,0.0593004758691721,0.0354612910303285,0.0961622730547397,0.0480397257515363
10145,16503,0.0518841748517596,0.105293584750715,0.270609087516543,0.155447455277518,0.0470851126484798,0.142628198260362,0.0363500543240064,0.0200466742737803,0.0219514774642222,0.0309605210536267,0.0628461566094499,0.0548975029695364
10280,14815,0.0527680726652669,0.0373193130820833,0.0926855943389964,0.08550140742206,0.0140283750463667,0.0541038372702656,0.0180195810423663,0.060521787152853,0.0398758645443045,0.168964245271863,0.356663829453919,0.0195480927096556
11235,7339,0.0639466373222631,0.128030045856181,0.334855693554003,0.0535592152484728,0.043137678068053,0.125993775015445,0.0196032314661075,0.043327175880087,0.0609689700161862,0.0280901880265722,0.0636374467568344,0.0348499427897953
15679,12152,0.0646146657806808,0.153585095720249,0.260527787768624,0.0891531860248243,0.0284614867196602,0.0887200678603635,0.0395257559035279,0.0102351536596231,0.0585267360861384,0.0317552803412241,0.138397040195274,0.036497743939811
15955,11669,0.0484756715879659,0.13237919422123,0.347891882104866,0.0885955042578444,0.0179206280265629,0.071006850515549,0.0362198011598953,0.0316977748231536,0.0555406686269075,0.0556523027590604,0.0860454941734661,0.028574227743499
14833,4921,0.0426044365839807,0.156510836647177,0.30694062382264,0.0919076222679175,0.0231443049520903,0.190007146148461,0.0206350794599482,0.0284506867434689,0.0260259814013594,0.0113972349611335,0.0535445964714233,0.0488314505403998
12216,12882,0.0430403643456029,0.12453797296964,0.291574429104934,0.083680173090431,0.0338876365687474,0.0971615637733655,0.0367319429225002,0.0440564096343906,0.0491904612960025,0.0449006852413903,0.0976155042363002,0.0536228568166955
17337,10220,0.0547211316565136,0.157134114939018,0.294666368326598,0.0620975193913789,0.0189651599893312,0.180830553016582,0.0341036557592311,0.0149223028786868,0.0308338785386417,0.0386316857533527,0.0759096735084238,0.037183956242242
13605,14326,0.0446614370493865,0.0148244445508314,0.0210904543998589,0.0349507865458317,0.0241093835644087,0.0169642044302985,0.0342726904909179,0.0145495910202784,0.120269645786006,0.203740011343268,0.467201028063159,0.0033663227557553
14719,17217,0.0632244174662495,0.199187934213546,0.0955796536047453,0.176887743777604,0.0267526576656942,0.0609850301482954,0.0538043384596082,0.0578447384823023,0.0687116626167149,0.0495711353450144,0.126936725732875,0.020513962487351
10413,12163,0.0638586069609869,0.123334879162375,0.317354079280445,0.070713948842032,0.0375148522821667,0.0920016579732424,0.0644243687295995,0.0191030300465229,0.0408638171047816,0.0358830777798481,0.0875798238412491,0.0473678579967502
16653,14320,0.0715038366621556,0.0870980921464864,0.210546515610088,0.170403231078272,0.0633191719737271,0.128666399224678,0.0372162182716859,0.0303055703355817,0.0330866287954838,0.0657144483480766,0.0604235990052687,0.0417162885484957
12200,4685,0.0512263097563433,0.219097783051958,0.215658439571752,0.151106611048437,0.0356305865892449,0.0936965421457677,0.023698071846409,0.0512385583792623,0.0219135540331731,0.0168707863522032,0.0899536692561543,0.0299090879692942
9715,9512,0.0604433352942034,0.140123777333209,0.254519813283352,0.127812994965452,0.0203117930452031,0.180264327675959,0.0398383011465291,0.0231255800314446,0.0186147528453664,0.0201252631405082,0.0736469583486196,0.0411731028901552
10686,9751,0.0572900810678535,0.186387458690753,0.225710023291653,0.0910369098912042,0.0380232486746246,0.125357157480377,0.0329826455485431,0.0322149564847517,0.0442550978601741,0.0290372854389199,0.104882353310271,0.0328227822608745
14556,4921,0.0229845436919979,0.266609950973557,0.282231691394271,0.0770916297957056,0.0256766337972503,0.0682339733262872,0.0310202033692891,0.0177769886208741,0.0393229082184256,0.0245374037116806,0.121352714257364,0.023161358843297
15670,7812,0.0666488767288854,0.191514139395138,0.276432610556391,0.0639845401788087,0.0135787754900682,0.110627245538763,0.0363312294592297,0.0273246602691836,0.0800312424179388,0.0299310869206258,0.0709597820842206,0.0326358109607482
8466,8309,0.0367726398077793,0.179267500643635,0.225080787378018,0.103871973435595,0.028356694480666,0.148796767701222,0.0319378690466196,0.0237970190250577,0.0543402483288863,0.0390216401311631,0.0899298450038215,0.0388270150175366
15543,13840,0.0424822367664747,0.101864822524925,0.166475152237681,0.12789977778517,0.0655603052163562,0.124164314030983,0.0232966726258121,0.0478802709134609,0.0291097970661326,0.0263574571707179,0.203875297216521,0.0410338964457662
11643,3722,0.0251633948541538,0.107808542475904,0.362994832969716,0.0939336407041411,0.0519788020133838,0.0715882272747319,0.0396092071540102,0.0422535426692577,0.0165100779707822,0.00889680581221232,0.140593861944793,0.038669064156914
11923,5168,0.0669089427634768,0.223976739260664,0.280589900509487,0.0574565720938654,0.0492887379632723,0.0791461653056157,0.0378477586027096,0.0311978801959645,0.0300659848287232,0.0226139118878366,0.0768478877024749,0.0440595188859105
18314,13352,0.0474473073806864,0.0217706609644472,0.159528942001017,0.0442957010319427,0.00577948034710961,0.0706105114980313,0.106816060527842,0.0262189340136943,0.145022349529331,0.281009823180263,0.0729785679716869,0.0185216615539481
16363,8052,0.0469219797243486,0.203772717953657,0.26530087960945,0.0635594742018804,0.018582568681823,0.209632846420349,0.036770241648755,0.015787396843783,0.0257040809789236,0.0132382399598901,0.0555998710145119,0.0451297029626281
9869,16985,0.0792499992063876,0.160866355169165,0.296977896356478,0.107846715385671,0.0380620744988698,0.136443933120956,0.0181974275065974,0.0483291891948105,0.0258165704018881,0.00751128870601146,0.0557243180572382,0.0249742323959271
15954,11187,0.0557425579743779,0.184515663066949,0.17432160775664,0.147499124323836,0.0262978958855492,0.089385392759469,0.0206923077914063,0.0377214333228517,0.0712495208486865,0.0676562852577112,0.087153683770591,0.0377645272419322
12336,3479,0.0645441262723133,0.25818367875623,0.215572382537326,0.0429079126746232,0.00514713605741804,0.106654885541781,0.0391071404720106,0.0304456640237798,0.0447040358257429,0.0260250180809093,0.137478910958875,0.0292291087989914
12343,7337,0.0463809027062193,0.0654446478217385,0.287857093593471,0.138472490859055,0.0444359353626587,0.143019775967595,0.0735095704621728,0.0132288054589973,0.0437234627499128,0.0221385023772991,0.0740057512265376,0.0477830614143434
15402,12635,0.0713102579924849,0.183134831615648,0.169222082413827,0.117566161366081,0.0376262565041935,0.0892220071938206,0.0476164284400519,0.0332958863871408,0.0846618814902043,0.0303041314939242,0.117977066175117,0.0180630089275061
11506,4445,0.0450822579261562,0.200962174826409,0.232260882661315,0.139539288592541,0.0158739358552715,0.16585677033236,0.0263338457566226,0.0324482314529028,0.0261660411252116,0.0100353678843282,0.0838023957698538,0.0216388078170288
14025,16495,0.0514393411144942,0.160794682954309,0.209596170023165,0.0772569891923086,0.0445168839733058,0.0593383128395345,0.029653809747254,0.0388405372953004,0.0601565622747103,0.0653568428048463,0.180201334295069,0.0228485334857033
12081,14570,0.0328931882666923,0.0104772974917785,0.00948167716098652,0.0155291926897972,0.00698205070970757,0.019165012450195,0.0332501205348408,0.0123154543902436,0.117122137392462,0.197904818008492,0.54297169871188,0.00190735219292479
15388,5402,0.0680654902767615,0.167031994407868,0.306153637664827,0.121065564664926,0.0133372689132277,0.146085735793612,0.0112370557426568,0.0454692576815623,0.0271731618196303,0.0038904372498616,0.0696078428966339,0.0208825528884342
12773,14328,0.0685120480590802,0.0886820563610317,0.247737429346335,0.108909307904315,0.0718520093223276,0.0869369993237106,0.0300146629078485,0.0304591889345816,0.0485534251183897,0.077857803588302,0.119386810907704,0.0210982582263738
9984,5172,0.0425078312660366,0.178085639363051,0.359298250183265,0.107249888258095,0.0221744122604718,0.109180433010199,0.0271300378253853,0.0148929257938387,0.0254675472116136,0.0120089908979032,0.0775560937577353,0.0244479501724056
13175,7335,0.0287354733150191,0.238667793149648,0.265806609848374,0.129888570041648,0.0334468955253807,0.100505336571392,0.0216069280627013,0.046734395643869,0.0189908094756112,0.0150952662782546,0.0667810682116077,0.0337408538764938
10009,17708,0.0696444291651235,0.112489304838481,0.355277850043976,0.081209643811167,0.0430947450752133,0.0972693655808191,0.016920549700134,0.0294043664796137,0.0555217077025295,0.0158307063076173,0.0745997021086459,0.0487376291866798
11650,7097,0.0572822851073334,0.127596229019138,0.275063567208346,0.100706761551249,0.0172476389773184,0.177294193362918,0.0566080368608008,0.029575526184468,0.0326426954198234,0.018681039896114,0.0701628942840855,0.0371391321284054
15683,14563,0.0645937700754919,0.0588799567654749,0.275217284381407,0.0753319961496524,0.0356589231869663,0.0975655098071991,0.0870491295946802,0.0159350428692946,0.086933731979565,0.0171493938437952,0.117145853946621,0.068539407399852
15404,13599,0.0504364310506301,0.126786074548424,0.147737598040163,0.102184924565135,0.0187109314815504,0.127110423264933,0.0268110997142694,0.0439948401265516,0.0598771847651016,0.117317398549676,0.100324412018583,0.0787086818749838
8059,12891,0.0790676588915171,0.14993938583152,0.28079739368237,0.10759702790306,0.0059365847847118,0.0890485624790808,0.0400750403411592,0.0369617440768829,0.0587415322074545,0.0575459419269328,0.0563783726167849,0.0379107552585274
8476,13131,0.0566740132023023,0.14061206019981,0.341861810068541,0.0845226895927678,0.0159981006656431,0.193211030138712,0.0209223269888365,0.0241183620328998,0.029581539739579,0.0245679169180048,0.0375530977962193,0.0303770526566842
8187,7345,0.0782188934609271,0.193572885714217,0.216232507068072,0.128410694568609,0.0312838046215619,0.0883341081141627,0.0350032584528139,0.0430013697340052,0.046156503519996,0.030157685723111,0.0761584861394725,0.0334698028830514
14137,3717,0.0982271074961153,0.0560865988276351,0.171900044233063,0.0421398415163763,0.0508198885627111,0.07658611786381,0.0533726082519602,0.0230735985385115,0.0727620503942703,0.233442507954057,0.0772385520087226,0.0443510843527677
12904,10229,0.0473799313185611,0.109529299486079,0.278444021237676,0.130779805136765,0.0590109376447221,0.139849780836454,0.0190481608371281,0.0232917117856515,0.0249890014483116,0.0176351423253704,0.118011017299815,0.0320311906434663
18313,12870,0.0760352714188822,0.0153842619577913,0.178244634071193,0.0621776901689831,0.0147418129650037,0.087292725177758,0.0399558708526814,0.0104155755974208,0.112753705090934,0.295858157999867,0.100939844620576,0.00620045007890895
11112,14813,0.0368210402249886,0.00553382781913413,0.0182792155771527,0.0178431739614572,0.0160898946005831,0.0343665566513552,0.0352450283727673,0.0273323673103405,0.0498958731418346,0.04766971642059,0.696444838756263,0.0144784671635341
