"x","y","Mural cells","TMSB4X high cells","Fibroblast cells","Valve cells","Vascular endothelial cells","Cardiomyocytes","Epi-epithelial cells","Endocardial cells","Erythrocytes","Immature myocardial cells","Epi-mesenchymal cells","Macrophages"
16790,13596,0.0313500431415454,0.0058144559504295,0.0750906073063682,0.0296783417232813,0.063379214147486,0.24783410151789,0.0364413460556171,0.211229804096853,0.0882597414617967,0.10286866901373,0.0841812471572979,0.0238724284277048
16103,16250,0.0219063892689141,0.0151594999413526,0.0418874281067592,0.0152051774799701,0.0580198774384394,0.268830545743363,0.0192885023056059,0.177508776759019,0.0726846691215818,0.104547036558779,0.153479939623587,0.0514821576526286
18589,12387,0.0119746747390895,0.0343693970377887,0.068319615796896,0.0157060571379886,0.0237003343680488,0.104132910864425,0.37530246009791,0.17068964945035,0.0735649780975664,0.0548609042062958,0.0216237806345371,0.0457552375691055
8477,14095,0.0332063905772475,0.00308462138410574,0.0192371045159629,0.00316719509063331,0.144614895934881,0.242966276107246,0.0065172566645248,0.146801063313717,0.115813527665383,0.159670782211183,0.0905986454269647,0.0343222411081514
14165,17218,0.0303737411326075,0.0170311486960639,0.067438552527649,0.0959934700122975,0.107223601941648,0.232986817189847,0.0201053935182621,0.12757163745013,0.133465640749669,0.0616839364963532,0.0614815757736206,0.0446444845118531
13596,9986,0.0500894547484061,0.00486304330299533,0.0281233986910917,0.0126889227565947,0.0490503783880731,0.185542159083217,0.0256038250902577,0.346780629738197,0.111105641773104,0.102591568399031,0.0762810342153171,0.00727994381371577
15273,17216,0.0416072561820075,0.0530016040243484,0.103695773302486,0.00945457476566864,0.0309160086882751,0.0808195620202219,0.0469559283469707,0.377967262266727,0.044469834208668,0.0604799263990284,0.120443984437032,0.0301882853585668
10840,17707,0.0177059845212846,0.0257045924968758,0.0167438047831944,0.00609191364880627,0.149358640613999,0.235291079045537,0.00531158695436341,0.399690854420794,0.00766718986732723,0.0466968304244638,0.0756810682318405,0.0140564549915136
12364,17463,0.0273385324504034,0.0761631886010915,0.0763329970925602,0.0434542327635899,0.0367209467605723,0.10898192668466,0.0410664837511651,0.39711744605807,0.0403615031170314,0.0503360746663671,0.0434734398818684,0.05865322817262
11938,12401,0.0671593955828671,0.00949310284877213,0.0836038389742568,0.0196954482100884,0.126729111762379,0.108127990003583,0.0316564057053042,0.175384308456876,0.0708394328592413,0.116935643217988,0.155341774090019,0.0350335482886253
10145,16503,0.0228150586905512,0.00650432844183129,0.0237602090640418,0.012899978546291,0.0872920978756723,0.2031725820229,0.00705865301338167,0.263330750652103,0.0763350496806342,0.103871527292297,0.101108803899083,0.0918509608212144
10280,14815,0.0056665043907674,0.0189684472114791,0.023545416819421,0.192976825254527,0.0405956091985168,0.0793633302403833,0.212521997537206,0.159992298810411,0.0496736589798266,0.0821527240662642,0.103703239377298,0.0308399481139
11235,7339,0.0209995655400218,0.00646560938876328,0.0673782416888995,0.00906005975330176,0.0350311026281151,0.180653921735425,0.0280392535086435,0.446236617104381,0.0510951678575414,0.0828063868882015,0.0272381104883422,0.0449959634183632
15679,12152,0.0804005389890356,0.0119985872314885,0.0705503626448624,0.0271804211226611,0.0728210172670436,0.131388413139567,0.0506735744058294,0.214738153052345,0.0638827013352215,0.137108190976652,0.093366052461007,0.0458919873742862
15955,11669,0.0626030155675212,0.00871446632349298,0.0604365288608393,0.0155382816900643,0.0583660192160259,0.104522915641851,0.0453266344320387,0.401924200025377,0.0330269471845716,0.124130553035814,0.0607207999115348,0.0246896381108698
14833,4921,0.0307659619369556,0.00382080222115002,0.0249469524599818,0.0116685502529494,0.0313364993790995,0.257051298523892,0.0238395917956028,0.423715602479867,0.0565972576487166,0.0742866399212382,0.0311101844924102,0.0308606588881375
12216,12882,0.00901401086708581,0.0100078299968981,0.0619325747825704,0.0109273809096536,0.0589460598590171,0.230517125235464,0.039816879398087,0.287112222749661,0.0128064711735871,0.108502475551579,0.0892382701687367,0.0811786993076598
17337,10220,0.0604262291251647,0.0203237320140377,0.048789572795902,0.0221634181596885,0.0871221062822118,0.307836489569801,0.0542158886852668,0.145274453460837,0.0216186030007609,0.135393705890787,0.0260206824507701,0.0708151185647731
13605,14326,0.00231014575299225,0.00916029704324609,0.0404161238334541,0.382074732306142,0.015810929582952,0.03224949084594,0.293159741554057,0.0431760867946583,0.0436508860540294,0.0396071535783183,0.097234817174802,0.00114959547940807
14719,17217,0.0316568709270045,0.0715126271733465,0.108283988996294,0.0701079739183935,0.0856950274406588,0.0959441202705953,0.019891689992252,0.18115369988825,0.0733919894601003,0.065694533141942,0.153029525234008,0.043637953557155
10413,12163,0.0244156360199484,0.00262287221093219,0.0690865763401211,0.0168910678485316,0.158411553790994,0.173580106421499,0.025875234011671,0.212782519242003,0.100708010966175,0.112665941459349,0.0237402568612672,0.0792202248275093
