"x","y","Immature myocardial cells","Cardiomyocytes","Fibroblast cells","TMSB4X high cells","Endocardial cells","Valve cells","Mural cells","Erythrocytes","Epi-mesenchymal cells","Vascular endothelial cells","Epi-epithelial cells","Macrophages"
16790,13596,0.106769384489207,0.151498902619141,0.0605343504742186,0.0113052180807829,0.155719769722677,0.0985732451708976,0.0443946661881103,0.112290098625724,0.0273397692113729,0.0366870654506065,0.118301309957571,0.0765862200096907
16103,16250,0.145706393769686,0.228285613532985,0.0240773966554352,0.00178144167260138,0.111904439458705,0.0640987415484786,0.0225985071242941,0.103254276261033,0.0587701159724938,0.0447338217722232,0.115239351466981,0.079549900765083
18589,12387,0.0775005382669034,0.099624918510612,0.0465675132055051,0.0297971880687635,0.0545247536519796,0.0504841269742708,0.0171233363895828,0.0611268530161037,0.0195314270243347,0.0265992028969714,0.423531112869072,0.093589029125901
8477,14095,0.174830498171465,0.0890932649419534,0.0363537529863979,0.00337355778826849,0.159209351253884,0.114222760402733,0.0657245533843933,0.105045484752601,0.0399263830054339,0.0884040440758566,0.0492311884615846,0.0745851607754296
14165,17218,0.0718172290499,0.107296889341857,0.0352506176865149,0.050116406314736,0.152905129546609,0.104303610484799,0.0295828869121316,0.172951710795584,0.013184399878907,0.0478892932654288,0.139933587784362,0.0747682389391717
13596,9986,0.13945216250587,0.129365734912637,0.0291005996674008,0.0101032809766237,0.154684977533427,0.0737808170946307,0.0827021592009394,0.0871848695983744,0.0416357540899554,0.0470953290826498,0.113124994875239,0.0917693204622519
15273,17216,0.0707866706726891,0.196632415508568,0.0464480762557198,0.0249983008013156,0.24947292063754,0.0643462371093543,0.0546763240389779,0.0343668432965445,0.027371134266834,0.0621421329159131,0.0958613444142534,0.07289760008229
10840,17707,0.107286507620739,0.227468220301157,0.0373251513228542,0.00835635672375666,0.146925002337207,0.0947435377465232,0.0783298729338561,0.0930294201997374,0.0376484454523551,0.0361580411043665,0.0702171919582402,0.0625122522992073
12364,17463,0.070829700020028,0.205145989956223,0.0510590238084751,0.0297378040395445,0.125636094302285,0.120869295606993,0.0416086874602189,0.0924471929910125,0.0529575283063462,0.040867988174464,0.0865848305161309,0.0822558648182782
11938,12401,0.10482363563749,0.124914378480082,0.0682500077917308,0.0193971915461764,0.08249613830466,0.0574749946637585,0.0944925856205329,0.106064343882833,0.0378282037006695,0.0823929702818205,0.142575355805582,0.0792901942846649
10145,16503,0.0941527173773775,0.134310472520303,0.0416231297412341,0.00958441550948018,0.193550053176085,0.0648397338054594,0.0422072251291929,0.112974810426446,0.0213001805046045,0.051278278852047,0.0715182355496187,0.162660747408152
10280,14815,0.0597860108480214,0.0973811840958599,0.0244163024221835,0.010223064201534,0.0730760105770298,0.319762656770865,0.0051560229070139,0.04539143476802,0.0193684728523663,0.00392281413487475,0.251883798536016,0.0896322278862157
11235,7339,0.107043229018415,0.219277493335543,0.050919822799397,0.0040021167227462,0.141891564638452,0.107043453818715,0.0257079213270414,0.0674858870403203,0.0510643720736485,0.0380193027951155,0.095014682117534,0.0925301543130722
15679,12152,0.118863582688046,0.161335895984303,0.0409525920738507,0.00589929451395202,0.134366972262242,0.0680501925797378,0.0620765974423598,0.0934314537756235,0.0282038570893347,0.0412526874765372,0.152774683822088,0.0927921902919261
15955,11669,0.109543132744738,0.148001170310585,0.0471918673455163,0.0049098361252408,0.103373505769079,0.0525541094989196,0.0521270775249112,0.104138780553099,0.0298402321280199,0.0197145599185164,0.184250567972308,0.144355160109066
14833,4921,0.113194857610474,0.182040704866521,0.0191243788774839,0.00452578495553194,0.176608331110789,0.0448714761274832,0.0430786422268113,0.0879346943101747,0.0236775264601884,0.0416190162619474,0.128538719127172,0.134785868065423
12216,12882,0.107809763084858,0.25241340953771,0.0571541734714921,0.00652850088172314,0.127817313096703,0.0605739026013179,0.0309188863103307,0.0664851797814308,0.0217877566333298,0.0528655668769423,0.142467826011273,0.0731777217128889
17337,10220,0.183884633044042,0.129093947830005,0.0382001258471788,0.00279134814355774,0.1079074216486,0.118560000740688,0.0478007843639671,0.0766760157558945,0.0203261803760327,0.0342302276903914,0.156188892514723,0.08434042204492
13605,14326,0.0237219616065283,0.0546791017225476,0.0436316081295114,0.00471545229998939,0.0437364979386702,0.357751803333934,0.0030751107003414,0.0906755917106065,0.0206122701237234,0.0046838403305704,0.318048490334046,0.034668271769531
14719,17217,0.0361749406635137,0.178887607523266,0.0541920239910396,0.0621082642574035,0.185289511927546,0.095515548562824,0.0236117713197523,0.0823516784870014,0.0369649906623804,0.047693502775958,0.102265918207812,0.0949442416215029
10413,12163,0.167071197412692,0.119178149063105,0.0387324591013157,0.00625754106590758,0.115219574273036,0.0540814946023302,0.0506535558577147,0.106928356974823,0.0138318665201391,0.0759147899628372,0.133288257080981,0.118842758085117
16653,14320,0.0502168975920894,0.152250522951812,0.0706032407467283,0.0072292911385213,0.223811399804031,0.0666080033439593,0.0244796292948875,0.137532004433584,0.0339801832591849,0.0263244144987048,0.122958957510705,0.084005455425793
12200,4685,0.148387875459981,0.106579178034985,0.0408823493064661,0.0163818765269431,0.188222004357066,0.0617296762612849,0.0893304773995484,0.061851505052043,0.0275236283024108,0.0488135887221353,0.102343969268587,0.107953871308549
9715,9512,0.198003211205053,0.127790578599499,0.0407509277863396,0.00691144523491668,0.170518283220958,0.0808330303320972,0.0606313748670011,0.0461511471666946,0.0221229669910499,0.0813604683893374,0.094538331892607,0.0703882343144462
10686,9751,0.110642048456138,0.0969252093643274,0.0383597395990938,0.00503690870954882,0.14346414943183,0.0627536463632584,0.057655786382713,0.111379994754798,0.0300017248368642,0.0528083918842464,0.16983512581157,0.121137274405611
