"x","y","Endothelial cells","Fibroblasts","Neutrophils","Epithelial cells","Proliferation","Astrocytes","Neurons","Oligodendrocytes","Mesenchymal cells","Macrophages/Microglia cells"
9389,7438,0.00284488877360206,0.120318850080357,0.180643348278328,0.0026783583507057,3.83234478292229e-05,0.0431499900950723,0.202991703772931,0.164010398701147,0.0211263015532651,0.262197836946763
5327,1802,0.00183598395815566,0.106203094004046,0.162658181936993,0.0213548047302219,9.59889990483642e-05,0.0091437041427167,0.0318252189034534,0.110128935057856,0.135233412603043,0.421520675664466
3670,8514,0.276770910736,0.190628580438935,0.0422180067157852,0.00112403132645619,0.000125036908942263,0.0163203302377351,0.0359175006670895,0.13277591384123,0.0734358815490006,0.230683807578826
8840,3122,0.0687974233154733,0.200308373364449,0.0887133317679557,0.000401130107691195,7.22673204125316e-05,0.0310469932631903,0.0636438909833014,0.151081174559979,0.0786328355209238,0.317302579796624
5323,10193,0.0135195850414122,0.213979395066551,0.105809381724892,0.0036577066570922,0.000656842414126233,0.0595058290478554,0.206933132605022,0.111244710515187,0.0518946124325175,0.232798804495344
9044,8756,0.00463339041345806,0.0453931687687392,0.0953500693803821,0.00636542826617303,0.00563464460125533,0.0203193679157211,0.0947066729617128,0.0737625722352676,0.550943207816373,0.102891477640918
4292,6476,0.0115073704232636,0.215014432007858,0.0592594566508328,0.00588452678803552,0.000130845675536962,0.0223932934286263,0.150325459715856,0.12240113216974,0.0674400590654845,0.345643424074766
5255,7676,0.0116519546283793,0.232080803263649,0.0472744200949331,0.0146995479938278,0.00240321386417297,0.0178645534671503,0.155180927023067,0.104099535855822,0.119013172707295,0.295731871101703
8080,9235,0.00417653688078335,0.165175899377724,0.207143246597843,0.00288763621588832,0.000488955940259359,0.0866839110882996,0.0730931318852833,0.139815040110309,0.0716462335249525,0.248889408378658
3672,5877,0.00217703614148697,0.133609587727788,0.107510590615292,0.00665243144001724,0.000633143403008485,0.0450972991546851,0.18111091325996,0.128079643165541,0.0810325248236066,0.314096830268615
6774,2162,0.000640976156466716,0.0698401028794511,0.166257587152552,0.0138670129369201,0.00029446076089289,0.0308323988367276,0.151475132631424,0.130188640537057,0.150536249460111,0.286067438648398
7806,5639,0.240755875491619,0.0754393984132801,0.0589170934321897,0.00235163567150675,0.000217245303071868,0.054766384413397,0.0539295853600094,0.0927240841576971,0.0649234974298535,0.355975200327376
9805,1924,0.0148642709734645,0.160543161361371,0.104364841428132,0.00459865785999801,0.000168928171780793,0.0607300680751349,0.199831420465393,0.114749050092418,0.0733652771335006,0.266784324438808
8631,9236,0.00497194531260586,0.178872635927485,0.172438963275152,0.00657779095867372,0.00906724527475036,0.06104859111971,0.179834007654972,0.143971889890706,0.0574028475853583,0.185814083000587
6426,9474,0.122467849214054,0.123289981484093,0.140925235069544,0.00262519554997798,0.000128497364214408,0.0445891597426448,0.150820470831857,0.143543030732541,0.0409892987260238,0.230621281285051
9943,2403,0.00864737294135681,0.0888375841867685,0.141725033272299,0.00254660087641557,0.000185911564290078,0.0268677387136644,0.16240462758219,0.132419277533104,0.14149689985018,0.294868953479732
7184,9355,0.00298611378132761,0.0464249990636315,0.186001157159792,0.00480649968199618,0.000393174849776225,0.0467161633434798,0.202147690608949,0.125572737605023,0.182326305832151,0.202625158073874
3671,6836,0.00331968693692971,0.20152021291403,0.105794379944416,0.00613066522559399,0.000110073987719607,0.0372032779342959,0.118840322852573,0.108477438152656,0.0991176278919438,0.319486314159842
2499,9113,0.000563949684104998,0.228903340788296,0.134638092421372,0.00524750993493603,0.000266173956998034,0.0690266140900886,0.12054570951481,0.117721263262853,0.0411027303738273,0.281984615972713
9595,9956,0.128320744670045,0.121308425774861,0.0590011605679867,0.00444971466953016,0.00059008589052094,0.0381717112535591,0.108790680581957,0.164434935419598,0.0815474552148006,0.29338508595714
3397,4917,0.0105446415597702,0.0921192403139536,0.132263719046523,0.0395624228285074,0.000603386022506251,0.0352902061216501,0.0353429003013255,0.165813827556926,0.222101329717162,0.266358326531675
6082,8875,0.242218720858329,0.0659395002845536,0.123463600204972,0.00154198246107228,0.000125542708266806,0.0536822675378235,0.0967335302988958,0.141180489076564,0.0492386131770099,0.225875753392514
6151,8036,0.11489669519211,0.153677736882677,0.112351276380593,0.00179822822035851,8.05666253525497e-05,0.0377999089524035,0.124558941054209,0.127769797270212,0.0584018823730825,0.268664967049002
6635,4320,0.00174756028101821,0.145628406356085,0.0426572170995345,0.0388860974014651,0.000311928210630135,0.0119714277983388,0.0283908513488745,0.1642108950827,0.182096102108783,0.38409951431257
4155,4318,0.0169535345641295,0.0428459948558552,0.202900411706386,0.00646272463867303,0.000531721662020209,0.0291972451902318,0.224213966736933,0.160266756369697,0.0506177416124698,0.266009902663605
9667,2643,0.000740763178034594,0.160305272143661,0.175621341110589,0.00476802488952192,6.17942022018299e-05,0.0446682872853409,0.185678697015567,0.191323959555867,0.0408181711383625,0.196013689480853
4222,7555,0.00487786453246487,0.177217611769179,0.077107131865384,0.0153328333078536,0.00070579585749111,0.0275823980905446,0.160537484382064,0.117707742716981,0.0791052289086515,0.339825908569386
5947,2641,0.0143936673530984,0.085637324053782,0.100012769725081,0.00950321450857351,8.9850762792514e-05,0.023952070211679,0.153569010975867,0.155518422033201,0.164807706295687,0.292515964080239
3396,5877,0.00536211861146748,0.280920971690156,0.0647501828512226,0.020016952986342,0.00018480548780728,0.0125239278937735,0.0509078845692908,0.126825359761799,0.111617302887904,0.326890493260238
8839,6718,0.00417820355506691,0.0988457726464198,0.241579907131361,0.00324585141225001,5.67133710015883e-05,0.0711121090195888,0.175513667777826,0.139979062567684,0.0110155986853072,0.254473113833496
8977,6479,0.0741176023745157,0.151201377278454,0.106448441026915,0.00125327643465194,9.57367162749476e-05,0.0211639680904395,0.105235423065833,0.172639354323949,0.0342729212041696,0.333571899484797
8427,3122,0.00965130389686651,0.250993185073261,0.127072878161472,0.00230923317168788,0.000449026776186646,0.0234955885261643,0.14514000452782,0.118478790887237,0.0708221430702601,0.251587845909045
10286,5161,0.231435899760155,0.287760626351068,0.0262182821445816,8.64563826075486e-05,7.04263669878848e-06,0.0105884207838446,0.00919568586234195,0.103260776230098,0.0555629468588008,0.275883862989805
7116,7077,0.0940107073598348,0.142733558331991,0.177210874324008,0.00134539880574099,0.000109057104284319,0.0389757304610297,0.0706445845322248,0.169405032916558,0.0706921925761582,0.23487286358817
9666,5760,0.169099381077918,0.178125312424304,0.0311131968777325,0.00019094474672584,2.34670069539788e-05,0.010766020844479,0.0103788274029698,0.11059268120938,0.0544436025589482,0.435266565850589
7805,7797,0.0051080365056692,0.133442921123449,0.207800987392927,0.0031949027431614,0.000174221480740022,0.108219581445008,0.13471237606334,0.137587610510987,0.0349933788786358,0.234765983856082
8355,9236,0.00792967388682112,0.0317680245427162,0.301221928949007,0.00398205608747254,0.000214329532289279,0.0758296890568942,0.215749201898013,0.111300664667952,0.017168955387161,0.234835475991674
9320,7798,0.00300432727339186,0.127958779667279,0.191143519141677,0.00332101698629781,7.97260238374954e-05,0.0754700249325939,0.163434319799531,0.163741282723573,0.0234349107752658,0.248412092676553
10011,3962,0.203112989190424,0.240545771196493,0.0953814444473265,0.00132559188746181,0.000193803262513864,0.0334171631566265,0.0700217345914984,0.0589882365054635,0.071191632739562,0.22582163302263
4017,3359,0.00914873819124435,0.333434300329535,0.0124894027954534,0.00273553049120632,0.00135809096237682,0.0249580873612384,0.14522978595489,0.122740514913992,0.0902507215955206,0.257654827404544
7118,3001,0.0108391005927669,0.118848925213441,0.0921196956030084,0.00975586707116314,0.000152332336584925,0.0218956697147672,0.154349270196585,0.118445367445447,0.0791376974498987,0.394456074376338
5877,5398,0.000697077298982889,0.211383835449218,0.133529029460908,0.00809249398900011,0.000175458856453401,0.0373456637017726,0.163084048341911,0.174227472957983,0.0130096905610501,0.258455229382721
6359,5518,0.00131335275713229,0.0851355707091992,0.207497188843546,0.0154424037375768,0.000122854400936647,0.0440603492756903,0.102693328673779,0.134718141905243,0.101671861719681,0.307344947977217
8289,3122,0.00167469659383534,0.187306107251831,0.175611974312594,0.00370698171363165,8.29237098947365e-05,0.0397034706424866,0.159920717112424,0.150215526597191,0.0375632018932017,0.244214400172909
4497,8035,0.0155560092309386,0.200857511865245,0.0617232070311235,0.00979841646864337,0.00363131657345903,0.0367476677265074,0.164638803240984,0.12171999067131,0.0849774332281066,0.300349643963683
3674,2040,0.11671912351174,0.239615000899296,0.0287807333242212,9.08664533332603e-05,1.48364951144849e-05,0.00134404712356555,0.033830229918932,0.165997063602703,0.0372945309688348,0.376313567702261
8565,2163,0.00123894696848618,0.0726584310525839,0.0918596604353257,0.0229893420718804,0.000324587319687509,0.0338444466182504,0.0837845463303389,0.129738459139404,0.276900435667467,0.286661144396576
4636,7076,0.0335064061377211,0.241282443258922,0.0879537843393706,0.013623690377368,0.000488863611272961,0.0286802383161343,0.097600881369078,0.130903878981237,0.0764748536712708,0.289484959937626
5257,4799,0.000933442115733484,0.178432552616114,0.122524617724402,0.0106770053065199,0.000278913124251747,0.0224689328522053,0.0648949569577342,0.189586742015921,0.175990742426441,0.234212094860677
4910,8754,0.0416111974946984,0.182327225223492,0.0967586251220013,0.00295639404017914,0.00194422875958208,0.0506846158204653,0.231527955453432,0.112935261517579,0.06472101053749,0.214533486031082
4086,4918,0.112358552389559,0.106358233753068,0.178770544126723,0.00888404506924204,0.000483507119938064,0.0599837204320496,0.0625500527082984,0.076314109487638,0.19798233654022,0.196314898373265
8769,7557,0.000876093169677843,0.0873368386176146,0.236635000203914,0.00493679003120452,4.67184833844297e-05,0.0771386753952924,0.204632615497757,0.162923789859611,0.0138158387924649,0.211657639949078
6843,2522,0.00365686261223036,0.122257473709851,0.148527427491201,0.00470764233634178,0.000150517561535803,0.0261317307535154,0.142353862986325,0.123309484881417,0.0526017011062085,0.376303296561374
3809,6836,0.0241572448798657,0.175790258055079,0.105718579095184,0.00547412996429285,0.00046498804614271,0.0461612950948647,0.0547520253734355,0.138972280523466,0.140483957166059,0.308025241801611
4707,2161,0.0495869860778923,0.397712009459232,0.00432735256062058,0.00128240557537117,0.00049591552347208,0.00110448098314659,0.00316218547607648,0.0107556603976129,0.162650136416166,0.36892286753041
4497,8514,0.0127156842069054,0.208446111961477,0.116579327313031,0.00380991180763518,0.000306898068925153,0.0343513762945186,0.149855803092957,0.159694293507553,0.0566380174753338,0.257602576271664
