"x","y","Proliferation","Astrocytes","Neurons","Fibroblasts","Epithelial cells","Endothelial cells","Neutrophils"
9389,7438,1.41112562406349e-07,0.070867679774635,0.436385942416979,0.102930239677093,0.00212412540183745,0.229558579152911,0.158133292463983
5327,1802,4.66305485224638e-09,0.00164422668202984,0.398714781220063,0.185616208734336,0.0111790886649227,0.324103347192966,0.0787423428426282
3670,8514,2.06482915780635e-08,0.000317565453958058,0.00743870065253908,0.0166566790104773,2.70490415377855e-05,0.84680019872544,0.128759786467757
8840,3122,1.42406847356899e-07,0.0108038130278708,0.169751656578562,0.0290619391940656,0.000795104246442937,0.60994498252737,0.179642362018841
5323,10193,0.000149307525616354,0.0199591791630206,0.306338935631431,0.155561110625334,0.0225556916272219,0.151845611778496,0.34359016364888
9044,8756,4.63799311211998e-06,0.00845502326264498,0.445082111209173,0.00555461564783313,0.00246998244083049,0.483229855840777,0.0552037736056298
4292,6476,6.98874990336976e-08,0.00239030145848599,0.435565055752879,0.20129137959464,0.000465913629956105,0.191339935564951,0.168947344111589
5255,7676,0.000739318088962004,0.0126223695904627,0.392719347693216,0.138309219398455,0.027753484817883,0.240932112105325,0.186924148305695
8080,9235,0.00010829397364065,0.0689447748106264,0.246112294432784,0.242381294331653,0.00820662641006497,0.264623039910691,0.16962367613054
3672,5877,0.000164981835414546,0.0193974411417711,0.451444972490394,0.130519442497799,0.0108371644296898,0.249985396860811,0.137650600744121
6774,2162,8.00918732163064e-07,0.000578897316569657,0.49296674846531,0.224196764484909,0.00506093009195998,0.21728519718137,0.0599106615411489
7806,5639,3.81021077901169e-06,0.0171141798430937,0.0633384348645108,0.00366500811857479,0.000418955737772548,0.77674340875931,0.138716202465959
9805,1924,2.02861277385823e-06,0.1056384517104,0.25209523458058,0.108004112434269,0.0149562565544382,0.216117719263076,0.303186196844463
8631,9236,0.0751894382777002,0.0510082931998847,0.27603887930649,0.288526212320068,0.0132386401928454,0.0370152280015213,0.25898330870149
6426,9474,2.35553110190228e-06,0.0247092997679861,0.0421953548323672,0.0885970437213533,0.0007376284866306,0.771841146192235,0.0719171714683255
9943,2403,4.83526282818159e-05,0.0382356570493402,0.304754315770618,0.179250947914828,0.00660587908601148,0.0425595448636647,0.428545302687256
7184,9355,3.75406239144756e-06,0.0122439596100165,0.449902596026675,0.0918039061617109,0.0173694908220676,0.372337310922213,0.0563389823949255
3671,6836,3.28992903111239e-07,0.00172329164636955,0.301503397167226,0.240264676296451,0.00181383740166398,0.126170166558188,0.328524301937199
2499,9113,4.31763733736537e-06,0.000977314590155018,0.248412686931968,0.438994600677864,0.000393634417300812,0.176535249379703,0.134682196365672
9595,9956,1.21167658291851e-06,0.0120932543215348,0.0828317727246567,0.133492960660558,0.000208501432552339,0.627498220616732,0.143874078567383
3397,4917,1.92210556742134e-09,0.000102983239155394,0.164884416933077,0.0382827585758171,0.00665679090132837,0.788973028965828,0.0011000194626889
6082,8875,4.72722753469659e-07,0.0162620997017537,0.0158368438916881,0.01568451122956,0.000372773559223764,0.901994881026723,0.0498484178682981
6151,8036,1.93757750623321e-07,0.00571372919245439,0.171558172611858,0.103888795536102,0.000554396287102009,0.509850414423933,0.2084342981908
6635,4320,3.36922312787629e-08,0.0014632099902604,0.45162669457003,0.0913902096485585,0.0128019596484729,0.231389550535379,0.211328341915069
4155,4318,2.55320736553445e-07,0.00429475596906031,0.195796876436884,0.0114406151736328,0.000174732362212936,0.721262577537412,0.067030187200061
9667,2643,1.60590169821191e-05,0.0941442713895054,0.375482564297526,0.0472206657735681,0.00975757068702711,0.175095868614269,0.298283000221122
4222,7555,0.000102730834271678,0.00759749346089829,0.277792550926648,0.268563872918733,0.00963973208217488,0.152541115390759,0.283762504386515
5947,2641,8.16344557183889e-10,0.00402801478838206,0.385894801428282,0.00828402625973204,0.00644921355032822,0.475615127782833,0.119728815374098
3396,5877,1.91924007162361e-07,0.00456666504323836,0.540266419448851,0.0521623805798462,0.0219399051554646,0.0586007178468657,0.322463720001727
8839,6718,1.29056789715011e-07,0.0601395199355106,0.356163734120154,0.151111178535606,0.00419352974695283,0.223275766623054,0.205116141981933
8977,6479,1.51559031387568e-06,0.0564278143483438,0.0175119818033574,0.00332849863865413,0.00222098227294059,0.693704337309753,0.226804870036638
8427,3122,6.91961961071821e-06,0.0384604386284486,0.266594396462098,0.00962579018302145,0.0103805597661573,0.42363942196859,0.251292473372074
10286,5161,2.49662935594452e-10,0.000446991632353101,0.00313481309375317,0.000982415192943864,1.44089976560163e-06,0.810753697290904,0.184680641640618
7116,7077,8.66874933760866e-07,0.00989979124140014,0.0174408067676676,0.0272398555182257,0.000114801814553615,0.696234223437549,0.24906965434567
9666,5760,1.54253676854785e-08,0.00102002506025045,0.00528517000135663,0.00729126739214735,0.000169854989071853,0.598328911923341,0.387904755208465
7805,7797,7.01444320955111e-06,0.0922437596664659,0.14673956671614,0.0548140935111975,0.00768977270774172,0.438044710011717,0.260461082943528
8355,9236,0.000403561849599937,0.0991110001611089,0.519260113953488,0.0851859774988005,0.0222382174680121,0.127716553541053,0.146084575527937
9320,7798,9.29305846922737e-06,0.116901699713371,0.478374643096906,0.0542180497328913,0.0099397679896158,0.0751718993642747,0.265384647044472
10011,3962,4.58046458184544e-08,0.00973725506841669,0.104146623995462,0.00271358420126451,8.0702657230181e-05,0.645057974675245,0.238263813597735
4017,3359,7.91760792093665e-06,0.0616983632004061,0.361108150147625,0.0467112937968052,0.00264072002504677,0.362030121902922,0.165803433319274
7118,3001,5.44853684909056e-07,0.00428416028831564,0.418171784132302,0.280875222347119,0.00158215965260095,0.253084910164198,0.0420012185617791
5877,5398,8.55199386455099e-07,0.0354091768354851,0.509392661354955,0.129230010677809,0.00902578041204327,0.0429507407588427,0.273990774761479
6359,5518,1.18263623997386e-05,0.0253296535310207,0.48647331401238,0.0120892713184869,0.0682982355315568,0.0933928147216104,0.314404884522546
8289,3122,4.55586699436337e-07,0.0557057323468178,0.346297682362734,0.00581894642627767,0.00822028175486468,0.146237752478678,0.437719149043929
4497,8035,0.0359047206329395,0.023857735504069,0.299119985688444,0.150504708271723,0.0391638721906578,0.0984958027325118,0.352953174979656
3674,2040,3.20907221174211e-10,0.000153134610588148,0.000475086901080565,0.00125702903936246,7.08588534089212e-06,0.831918588584419,0.166189074658301
8565,2163,2.35479057869883e-07,0.0119967461049789,0.428225641698043,0.0793927769041066,0.00962398486679156,0.322241819156198,0.148518795790824
4636,7076,9.17691868071517e-06,0.00612701690715966,0.379949021459759,0.189417279153476,0.0218973915263344,0.209559819856127,0.193040294178462
5257,4799,9.85130812982298e-10,0.00544735515742326,0.452388538138579,0.000643140367852571,0.00306404665104154,0.443014545655928,0.0954423730440451
4910,8754,0.0122734092431797,0.0329760729362412,0.170009451221176,0.169965451756959,0.0135293599196692,0.367879657492302,0.233366597430472
4086,4918,2.7671062083042e-08,0.00307388512314245,0.239929542665686,0.00882909215779606,0.00189352335063791,0.413203724299011,0.333070204732664
8769,7557,2.57491730073725e-07,0.128519655676802,0.405861955659462,0.0863906667712394,0.00743983507786772,0.104668544295259,0.26711908502764
6843,2522,1.72538827451021e-08,0.00118236123594641,0.379632616408553,0.308247443752997,0.000523183595272061,0.295033689315521,0.0153806884378287
3809,6836,1.38478250535676e-05,0.00600018585257697,0.336636270221238,0.052593560016606,0.0100835054015805,0.35810530012085,0.236567330562095
4707,2161,1.85230171905212e-09,2.03175741419098e-05,0.00889108204470946,0.00561164520860535,4.32229270212525e-05,0.976488801199148,0.00894492919407186
4497,8514,3.83383089178703e-05,0.0428500138050368,0.264875136438131,0.0921956394012719,0.0179138613187241,0.374523215848468,0.20760379487945
4499,4918,3.49358936496161e-05,0.0200976163335391,0.337380583190706,0.0837185793273315,0.0456015794419573,0.242018898441152,0.271147807371663
10147,7318,1.0383839602775e-06,0.0773158327627355,0.525184000683977,0.157827921071852,0.00266791008715168,0.040461783685649,0.196541513324675
10149,3482,4.26914267010175e-09,0.00234089734712591,0.181435940150897,5.49375472583865e-05,7.8344638111572e-07,0.791988461312141,0.0241789759270543
5944,9115,8.7482044152603e-05,0.031388471832627,0.179481223901693,0.161063472310129,0.00984385601363066,0.355374570388041,0.262760923509726
