"x","y","Proliferation","Macrophages/Microglia cells","OPCs","Neurons","Endothelial cells","Astrocytes","Oligodendrocytes"
9389,7438,0.000297317691216706,0.250212453992032,0.000795426811675703,0.000835907285502331,0.0534638855345502,0.564805145492489,0.129589863192534
5327,1802,7.18470805286719e-05,0.500048948763909,0.000305791696791993,0.00121601898355471,0.0282068528400976,0.32328679500763,0.146863745627487
3670,8514,0.000137429353506159,0.260155197209792,0.000687110760222055,0.00300429747143567,0.46081802558113,0.172439882541558,0.102758057082356
8840,3122,0.00103613021321308,0.332917574239482,0.00285826652386772,0.0113355615228623,0.269563519564463,0.207446200701761,0.174842747234351
5323,10193,0.00357746478074173,0.322907711439693,0.00302846216617194,0.00466832235829997,0.148151093712676,0.438923022676922,0.0787439228654958
9044,8756,0.00596287121301761,0.550342255127534,0.00139941056597813,0.036580940835131,0.0255345533298636,0.23592411359906,0.144255855329416
4292,6476,0.000372383057059804,0.478722424544954,0.000696636930817394,0.00257181820931325,0.0900890352454142,0.326654810235181,0.100892891777261
5255,7676,0.0039908753475702,0.455868167810731,0.00183090253960933,0.00243538217074085,0.136822979131471,0.279133436725142,0.119918256274736
8080,9235,0.000774218585706332,0.362511861016239,0.00072462630081591,0.00880373349196477,0.104245990756171,0.420492365631198,0.102447204217906
3672,5877,0.00134598857697008,0.405047835511261,0.00119244615057582,0.00139224466532948,0.0594031721006361,0.375770707172364,0.155847605822864
6774,2162,2.41512806269523e-06,0.469773716412764,2.89709238748987e-06,6.4147289135667e-05,0.0219316069266781,0.479739435357632,0.0284857817933394
7806,5639,0.00280011148758992,0.29602497945876,0.000889972298878848,0.00134105773971636,0.410562297605634,0.174003082232369,0.114378499177052
9805,1924,0.00143672026201987,0.235542799698121,0.0017223752699192,0.00162600465621246,0.108837864673999,0.503453584119917,0.147380651319812
8631,9236,0.0236098628101672,0.277584172753743,0.000694752249328456,0.00130944807782643,0.149536234846794,0.438359359744907,0.108906169517234
6426,9474,0.00146792701609177,0.307966353948537,0.000701241935402309,0.00545699625133941,0.145948778182368,0.408699316930912,0.12975938573535
9943,2403,0.00534700301500847,0.380262573869772,0.00403170118432554,0.00760970396794124,0.102230019889122,0.324563554439031,0.1759554436348
7184,9355,0.000186076388709043,0.393519845173925,0.000317091863430899,0.00144404656149529,0.0412184844779074,0.448538477706692,0.11477597782784
3671,6836,0.000504217134908794,0.492949205359178,0.000433652652482973,0.00109576531608519,0.0900356070883449,0.334716195040386,0.0802653574086147
2499,9113,8.60903936490161e-06,0.42786117579336,4.83173091528463e-06,0.000115648359301502,0.0117632800148995,0.503182209466467,0.0570642455956921
9595,9956,2.34069294934908e-05,0.4724664315852,3.22488071865695e-05,0.000893250904993677,0.0162574866334094,0.361607946600375,0.148719228539341
3397,4917,1.29660377808171e-06,0.544222313201085,3.62330904146144e-06,5.95631870026181e-05,0.00795361098784862,0.280524728986464,0.16723486372478
6082,8875,0.00055848051928751,0.213042134739451,0.000843728767063571,0.00245850343181201,0.236939512928497,0.472983416080926,0.0731742235329631
6151,8036,5.88690961178381e-05,0.388051172679234,0.000262264148371125,0.00124675206208973,0.122773278181783,0.41469260950246,0.0729150543299449
6635,4320,3.62556398502566e-05,0.672772511314165,0.000211486912770079,0.000204478401388091,0.0159062092196731,0.191838670804026,0.119030387708127
4155,4318,0.000283976919376155,0.263100857279975,2.34228810964874e-05,0.00307818277904312,0.0632655294146018,0.569873497136285,0.100374533589623
9667,2643,2.95741523088157e-05,0.352261494569653,0.000171872858543366,0.000293907473285704,0.0215441807295387,0.458111370756192,0.167587599460478
4222,7555,0.00370996748454394,0.445565303053172,0.00139877802364696,0.0137576024244643,0.0853086629166583,0.309818065549952,0.140441620547562
5947,2641,0.000415315183442563,0.463467089306043,0.00384916814240446,0.000726944899000601,0.0638625016951419,0.261767605566664,0.205911375207303
3396,5877,1.94924391040031e-05,0.578105817255782,0.000338568618104299,0.000431733436313007,0.0300723680301663,0.219880158748019,0.171151861472512
8839,6718,0.000520419370678403,0.212709739812573,0.0011423906472095,0.000791702101989177,0.0853736915932359,0.509369695266621,0.190092361207692
8977,6479,0.000268212740930012,0.311303502230322,0.000760892233601199,0.00152124189629935,0.150867685258014,0.334032307740829,0.201246157900005
8427,3122,0.000649018158602128,0.331410267023519,0.00143570866291873,0.00486847875613994,0.0996071826325769,0.34762033278702,0.214409011979224
10286,5161,3.31190987197821e-05,0.271281218817016,9.94774558704205e-05,0.000182290229324671,0.42330309034614,0.12908424298277,0.176016561070158
7116,7077,0.000113801361560611,0.325241877160705,9.23927672435951e-05,0.000365884740136078,0.116693330354597,0.460703465816527,0.0967892477992304
9666,5760,3.38216162012823e-05,0.325980617001891,0.000324572449688924,0.000461702262063221,0.444671741002383,0.0925581423311425,0.135969403336631
