"x","y","Astrocytes","OPCs","Proliferation","Macrophages/Microglia cells","Endothelial cells","Mesenchymal cells","Epithelial cells","Neutrophils"
9389,7438,0.0475339402911034,0.0425450045599983,0.000405666645812011,0.399174654897208,0.18644681897655,0.0234993497308636,0.0509224824854847,0.249472082412979
5327,1802,0.00659306496811877,0.00956457129921143,4.90424564892368e-06,0.256852874390103,0.320907010099319,0.000511393315356504,0.00232038116609097,0.403245800516151
3670,8514,0.000779058638350755,2.03068985309946e-05,5.40387626837305e-08,0.0159290294339785,0.863068871345094,7.53121413529165e-06,2.43361686173336e-05,0.12017081226253
8840,3122,0.00615176966488732,0.00195228664802005,1.99688363936284e-05,0.0703570595447319,0.604888020422774,0.00468732513849719,0.00495457544448359,0.306988994300212
5323,10193,0.032658668866927,0.0142051565521501,0.0100459132258632,0.183670111373075,0.285255697420345,0.0577145508819922,0.0963022046664823,0.320147697013165
9044,8756,0.00382058525630787,0.0390960125906733,0.00521931722175867,0.0379953764315029,0.308289554858368,0.0182352735856791,0.0281338467118204,0.559210033343889
4292,6476,0.00681840770963617,0.00714516229900488,0.000740379284164125,0.128872415622982,0.370377407023686,0.0266843933603778,0.0210299262364344,0.438331908463715
5255,7676,0.00518030470271536,0.0279229680784903,0.0315803225376716,0.154721099687792,0.345369795846938,0.0423627496504263,0.0926519277840424,0.300210831711925
8080,9235,0.0272842770262831,0.00648031183688048,0.000793646921108137,0.223195873576735,0.273738719101797,0.00771365472879908,0.0120286925134024,0.448764824294995
3672,5877,0.0086394967776985,0.0144514843485807,0.00839060528573809,0.168048326556906,0.262943287806597,0.0716012619526722,0.0805934462434769,0.38533209102833
6774,2162,0.00532633343612746,0.00974041657446055,0.000549334652336316,0.280680642399591,0.175398330515585,0.0385255376943293,0.0238063869334928,0.465973017794078
7806,5639,0.00601327708059196,0.000298705093727798,1.8960642709262e-05,0.0347174697301418,0.723508828883672,0.000313986208997157,0.000621200334027991,0.234507572026132
9805,1924,0.00401947989102229,0.0053912270650278,0.000218109573772716,0.189344715026422,0.329588898694665,0.0112037024496359,0.00948671574571374,0.45074715155374
8631,9236,0.0204920118021329,0.0342966176352537,0.0789985640044714,0.0879788797261566,0.134324409855509,0.0355343632683645,0.0704147284966568,0.537960425211455
6426,9474,0.00541770777369975,0.000358319273198078,2.65283958397179e-05,0.0301536706165567,0.721122778389739,0.00088055549512871,0.00175842614641764,0.240282013909421
9943,2403,0.0219421594424584,0.00760712476542845,0.00348020647054959,0.20057235425446,0.187895087022777,0.0887832933847638,0.0534314094857538,0.436288365173809
