"x","y","Endothelial cells","Mural cells","Cytokines","Neurons","Epithelial cells","Proliferation","OPCs"
9389,7438,0.00370814829089161,0.000123848693968679,0.0655175372128745,0.00015198592486422,0.0265393601980594,1.20798071742833e-07,0.90395899888127
5327,1802,0.0240528097118749,0.00241664333749569,0.0950807809896807,0.0055376826557517,0.1046306200579,2.04530026699135e-05,0.768261010244627
3670,8514,0.00112773519999577,1.58349022352326e-05,0.0594490836591508,1.35906411015245e-05,0.039210533264404,2.75456017921659e-07,0.900182946877095
8840,3122,0.174359813786202,0.0151797588892898,0.159930265179173,0.0357406010867998,0.0533653300708525,0.000186690718478789,0.561237540269204
5323,10193,0.00197594618720806,6.91775497394721e-05,0.081959823111899,5.55194790629412e-05,0.0554389011962372,4.28979065057172e-06,0.860496342685203
9044,8756,0.17026531442258,0.0252326767329892,0.224155250531748,0.0530542211072001,0.109150441381492,0.013832991794533,0.404309104029458
4292,6476,0.0365403499044467,0.000574052266048851,0.109024452868791,0.00176056294448903,0.0796328473327958,2.42760954239772e-05,0.772443458588005
5255,7676,0.0694036544431269,0.00255975188887323,0.166559165587339,0.00364382954218069,0.105186994138857,0.000944531595245803,0.651702072804377
8080,9235,0.0551596482895934,0.0045194424248419,0.121206981830921,0.0110109404237641,0.0606996266365576,0.000152237071436153,0.747251123322886
3672,5877,0.0112649018075365,0.000497571463069659,0.090058646381859,0.000447073587748889,0.0635608430305816,2.64557204170571e-05,0.834144508008787
6774,2162,0.0179826425844737,0.000855051309069842,0.0905998697583466,0.0017236925363353,0.0712104760370226,2.06993563153385e-05,0.817607568418437
7806,5639,0.0465697894477055,0.00134510286545095,0.146307829047983,0.000399221128410427,0.0589704510372445,2.22850961871167e-05,0.746385321377018
9805,1924,0.0132084038984187,0.0016766976862403,0.0760548424744263,0.00121057152973696,0.0302623636515077,6.09269483974505e-06,0.87758102806483
8631,9236,0.0289673542471284,0.0023123068317221,0.0886908248573939,0.00213634419889059,0.0638015274519789,0.00127308194272456,0.812818560470162
6426,9474,0.000989733926484965,2.54494629541753e-05,0.0482871149289101,8.43835702268128e-06,0.0423898708418354,4.04693316701675e-07,0.908298987789476
9943,2403,0.0704581800822411,0.00534904113210202,0.181072631107878,0.00595830285134429,0.0579986189055348,0.000151574079019776,0.67901165184188
7184,9355,0.000954486986137181,5.92788823976982e-05,0.0686570355426284,2.91461483147284e-05,0.046168964122581,1.67554508637569e-06,0.884129412772855
3671,6836,0.0159560203290419,0.000128343109344698,0.0994084589412537,7.09643870466778e-05,0.0639855048220616,1.38840973697601e-06,0.820449320001515
2499,9113,0.090991647857681,0.00113077274374974,0.122228578003146,0.00410634320204132,0.0944871065270495,0.000141174787856435,0.686914376878476
9595,9956,0.260043035719434,0.00668613800463819,0.0901624082001337,0.0140142691184357,0.0684236098042579,0.000632102285150117,0.560038436867951
3397,4917,0.0646840954647485,0.0071087873554013,0.117249599554397,0.0101292950492138,0.0904798877107341,0.000320477166408365,0.710027857699096
6082,8875,7.71935468168215e-05,8.55101508262376e-07,0.0428288759934927,6.36295790012255e-08,0.0303185357053109,2.36544858690912e-08,0.926774452368806
6151,8036,0.00486002459762607,4.71652452095105e-05,0.0757974032114513,3.21578134512846e-05,0.0565505777342483,1.44349618035673e-06,0.862711227901833
6635,4320,0.0872838688721399,0.0062427339836875,0.145294465080776,0.0113913845623473,0.112550102886379,0.000150951690825731,0.637086492923844
4155,4318,0.0278145169643401,0.00146197375825749,0.07461711004932,0.00193498007770405,0.066346629534009,0.000693363841217342,0.827131425775152
9667,2643,0.0788231351461045,0.00821956651063968,0.150685013937359,0.0146095960665145,0.0672639499598061,4.70740138750902e-05,0.680351664365701
4222,7555,0.0580361166093378,0.00196927923299826,0.151660042998581,0.003157960869795,0.0970532372318082,0.000340332461317868,0.687783030596162
5947,2641,0.0278501900273961,0.00216840466398369,0.0582461608813332,0.00520999674377433,0.0480405024328579,2.41162853749458e-06,0.858482333622117
3396,5877,0.0456437838634509,0.00196655800445972,0.147765406767662,0.00372104468104494,0.0988272022164006,0.00015852066388737,0.701917483803094
8839,6718,0.0452292606311464,0.00265603938291528,0.0909020079831699,0.00255087303847705,0.0491606576984617,3.13567690183154e-06,0.809498025588928
8977,6479,0.0545660539567153,0.00165386360411751,0.0841097763132896,0.0029937875872447,0.0402510137347034,5.39119523564723e-05,0.816371592851573
8427,3122,0.0751133701024807,0.00843251491738117,0.153531270860885,0.0129674121394626,0.0786138527860298,0.000174062197527996,0.671167516996233
10286,5161,0.160769984523805,0.00321253427515541,0.156700971879963,0.00660676136756169,0.0313764290774661,2.36145497063556e-05,0.641309704326343
