"x","y","Neurons","Cytokines","Endothelial cells","Proliferation","Macrophages/Microglia cells","OPCs","Epithelial cells","Mural cells"
9389,7438,0.0434389566592333,0.0406070197729686,0.0488698625095115,0.000578638040129921,0.184444139810361,0.593006476540137,0.0628235291117298,0.0262313775559291
5327,1802,0.0631240011637128,0.229872539883064,0.0681982291279109,0.000262408837625599,0.266608897319907,0.0458680539700987,0.104919258048909,0.221146611648772
3670,8514,0.0734802273592574,0.117957394284822,0.221059876300087,0.00084430037650868,0.213365799910201,0.349440630025427,0.00394129383313022,0.0199104779105663
8840,3122,0.0530168778364183,0.20353916240676,0.352850098325416,0.00129467494181611,0.131822661324084,0.136050031445447,0.0298050681818234,0.0916214255382352
5323,10193,0.116710601788722,0.141108635387208,0.0443793304724137,0.00655108623535661,0.0860632174495801,0.262213283808753,0.295195273713295,0.0477785711446716
9044,8756,0.0167713433864092,0.195284868434224,0.0380586145000692,0.000103410846184433,0.0466284583661729,0.0253632932773797,0.0136177006568654,0.664172310532695
4292,6476,0.155806782809072,0.236887079025524,0.0855926536665774,0.00206901304664085,0.24921092362944,0.0582639922663057,0.142058694729386,0.0701108608270546
5255,7676,0.12673333907658,0.181492386777917,0.167605603644191,0.0069794292489159,0.174254272318862,0.0616821511898725,0.117747048661249,0.163505769082413
8080,9235,0.0935384279661063,0.10867569076668,0.0865014257944886,0.00235618952013143,0.214224012762675,0.28304061989384,0.10128057230502,0.110383060991059
3672,5877,0.0839914243306423,0.108781009763623,0.0748901975743784,0.00319586249332163,0.220785774141304,0.235034461373618,0.185385491005944,0.0879357793171691
6774,2162,0.0450950284047531,0.189436754876117,0.0434335754935269,0.000498579926409299,0.248990533305365,0.0784425613912517,0.169095250623234,0.225007715979343
7806,5639,0.0636868250375815,0.242239123336314,0.523419745153985,0.00210087605909764,0.0625450540746984,0.042750614381553,0.00709356670220933,0.0561641952545615
9805,1924,0.0796182414914123,0.0852927469100358,0.0974944985329815,0.0045721030547058,0.0476646241174294,0.489492596800523,0.0693503334241509,0.126514855668762
8631,9236,0.101729422826918,0.129530812555674,0.101275019219159,0.0242144621869196,0.0993940571748948,0.267825465194229,0.135605899804853,0.140424861037353
6426,9474,0.107872816198319,0.110427007373405,0.131614649864259,0.00330450134859433,0.11122026100844,0.396463187391329,0.102016718672841,0.0370808581428122
9943,2403,0.0771336973930446,0.118135866033737,0.1289731141837,0.00191246393486816,0.11290706429975,0.166012559141622,0.171791408156772,0.223133826856506
7184,9355,0.0448132170978285,0.139295820078984,0.0339183134171448,0.00120443473468284,0.135223961417768,0.220775310795072,0.201041016920575,0.223727925537945
3671,6836,0.0726423991948873,0.290961249889908,0.0823098785394459,0.00156717526189116,0.221270238643145,0.138766763323517,0.078101165413995,0.114381129733211
2499,9113,0.0805285610323263,0.281155056707566,0.0435176420082108,0.000553467723039529,0.204289709729853,0.0329895210493169,0.188246093924096,0.16871994782559
9595,9956,0.106163375535856,0.0330397535551534,0.230268812002769,0.000346244342303866,0.420513508635223,0.0574446686037695,0.0494211870995672,0.102802450225359
3397,4917,0.0721896998123313,0.119623466821372,0.0199069124563013,0.000275700382416748,0.332284606926917,0.061569664561477,0.15625609621616,0.237893852823025
6082,8875,0.0688960055337151,0.135916088536391,0.0604297015702656,0.00131048881064528,0.0644969030645162,0.571519432163827,0.0492026322702161,0.0482287480504239
6151,8036,0.146230233074976,0.320672703015615,0.091803662348251,0.00104907309319443,0.142709102129703,0.114085050166241,0.0598578675348292,0.12359230863719
6635,4320,0.0642922492058352,0.083539196698799,0.0598184192400313,0.000320451515857747,0.481281463005588,0.00810398378550136,0.0748305388346718,0.227813697713715
4155,4318,0.0831133299821119,0.166295105794538,0.0884207846827865,0.00404305496967443,0.10300432684285,0.121087422212451,0.285063386544707,0.148972588970881
9667,2643,0.112374615946394,0.077779179332909,0.0678949310813167,0.000534619462704421,0.16724563471276,0.172821518644886,0.231404403103186,0.169945097715844
4222,7555,0.156462577408382,0.219101151900912,0.137515509770091,0.00447200856202167,0.170669915268713,0.0592246536949993,0.192323758698813,0.0602304246960687
5947,2641,0.0586939944038576,0.0876876954051975,0.134515637894137,0.000278206785196869,0.235913713178871,0.186208129269567,0.0860065903178179,0.210696032745356
3396,5877,0.107990097163468,0.142433688450983,0.128604379176982,0.000774303743660804,0.41886712898911,0.0149364526243183,0.0409907480081216,0.145403201843357
8839,6718,0.117630690507178,0.0645335484528823,0.121815963814828,0.00220912138634371,0.0847866156476685,0.360127212796084,0.17485110541061,0.0740457419844052
8977,6479,0.0881797104054496,0.123098334051208,0.244058556473511,0.00105704469802505,0.148277135995702,0.271486996716956,0.0269635574068182,0.0968786642523291
8427,3122,0.0945528277470122,0.244291313833708,0.186884793513117,0.00310265833667659,0.0771446164915695,0.167065052561558,0.0991204974388446,0.127838240077514
10286,5161,0.0387740973561017,0.11049418249048,0.726592965386072,0.000115176484600047,0.0586818481971718,0.00665718029172809,9.81781594960586e-05,0.0585863716343507
7116,7077,0.103137887230252,0.104562939159332,0.162365476787509,0.00112532869575201,0.10267133154225,0.335331121543189,0.0630826514067789,0.127723263634937
9666,5760,0.0413262744903629,0.13443574510238,0.738031757933827,0.000367367144585252,0.0648683627082815,0.00173242793289332,0.000315412575085569,0.0189226521125841
7805,7797,0.0553029359341208,0.0814676732147167,0.066856125205899,0.00145501895088643,0.100346415260569,0.58696901908295,0.0452589924917366,0.0623438198591221
8355,9236,0.120138735241711,0.0537175277136069,0.0987106330872165,0.00371513055995246,0.127542866450755,0.514262708201353,0.0536446017824517,0.0282677969629532
9320,7798,0.0587297619029813,0.0435104669798634,0.0538369846207767,0.000881183596686008,0.162517487638994,0.551929734585801,0.0994756462091899,0.0291187344657072
10011,3962,0.078015533005945,0.250157459896302,0.374686069737236,0.0020263123721183,0.12457040720045,0.0689651509470657,0.019126815927253,0.08245225091363
4017,3359,0.0987330103803332,0.0517824700269045,0.0873071507494619,0.00134472378933252,0.280486585623236,0.283743190755802,0.0138008479826898,0.18280202069224
7118,3001,0.137280982833505,0.212007229328143,0.0617218759421127,0.00183375760244985,0.255802911545355,0.0993211820222814,0.0941220595754292,0.137910001150723
5877,5398,0.071652019097616,0.0512756473847978,0.0303644672472117,0.00147833690143623,0.203622619543246,0.514133575786143,0.103403580308591,0.0240697537309584
6359,5518,0.0710437737355451,0.109053174049275,0.0359190886626709,0.000508576223635293,0.158968601296094,0.35400954574662,0.120989262828438,0.149507977457722
8289,3122,0.10331484887072,0.192392641970983,0.134251658933479,0.00217176315204972,0.0530255357318052,0.166718038258671,0.245104296436235,0.103021216646057
4497,8035,0.147769240949244,0.203223241119668,0.0997276621608481,0.0186144608942262,0.156755087076813,0.0593444364465552,0.197731954274719,0.116833917077926
3674,2040,0.0188717365809124,0.0702207720490603,0.588107524564903,0.000104929781074899,0.236219259370898,0.0179815289236802,0.00233214031770412,0.0661621084117675
8565,2163,0.0612821874781777,0.121414023878396,0.0692003259322463,0.000530726893023973,0.12557656446733,0.109447927450564,0.165339652681578,0.347208591218683
4636,7076,0.14133471894515,0.214905513574401,0.103265144105528,0.00337599472850298,0.206850712041499,0.110266351057303,0.151924478347088,0.0680770872005279
5257,4799,0.0451803491974202,0.100153539077377,0.0372146306157324,0.000138933404415103,0.211948501024451,0.26261237265707,0.126065724155975,0.216685949867559
4910,8754,0.0988722280650753,0.212408461485332,0.0657087966379398,0.0173646019373763,0.0833117834780376,0.385449833571291,0.071124032931946,0.0657602618930029
4086,4918,0.12687380308068,0.206100358864798,0.0965924005545801,0.000784869398572865,0.239950035950566,0.0468109718547818,0.112940309643632,0.16994725065239
8769,7557,0.0823551490486637,0.0520928518899688,0.088587733374356,0.00107838849034472,0.0795501175670961,0.507879922086579,0.143999706558659,0.0444561309843321
6843,2522,0.0698245130227444,0.114382787252124,0.0499599610727327,0.00048970493180295,0.372588870608002,0.130264574794935,0.162243390100463,0.100246198217196
