"x","y","Neurons","OPCs","Endothelial cells","Astrocytes","Macrophages/Microglia cells","Proliferation","Oligodendrocytes"
9389,7438,0.00214344452631617,0.015441127544329,0.106588831902281,0.471396958805964,0.0966403944955986,0.0016204201333337,0.306168822592178
5327,1802,0.00164569912012966,0.00441344343474248,0.0713698667174036,0.351287039328912,0.34133247699955,0.0014061065696218,0.22854536782964
3670,8514,0.00105199545455676,0.00165725539812843,0.318020439303494,0.325079527377603,0.214577561856433,0.00079285385758268,0.138820366752202
8840,3122,0.00448605928697992,0.0118527731897594,0.323610951889853,0.226018843847688,0.283618418082027,0.00951857338797191,0.14089438031572
5323,10193,0.00143756244929235,0.00939966927714482,0.140967544809533,0.386974052580554,0.0702342021794696,0.0094817455957983,0.381505223108208
9044,8756,0.0125926420048828,0.00914280629773137,0.0335556176768954,0.0584779555078714,0.833058591986132,0.0190638845394009,0.0341085019870863
4292,6476,0.00215071407447294,0.00247309325180959,0.164432161023832,0.37800893979483,0.219632073539812,0.00430447271873208,0.228998545596511
5255,7676,0.00312739064183319,0.0113083745248429,0.237605331050217,0.297744566737375,0.229661640176099,0.0180870548118566,0.202465642057777
8080,9235,0.0233334632776198,0.0188359102589056,0.213701720884844,0.333199178414381,0.22438752603722,0.0133676470029923,0.173174554124038
3672,5877,0.00137056014942125,0.0107457061237125,0.117148457647195,0.37207370047545,0.219804872172552,0.0076933131666283,0.271163390265042
6774,2162,0.000378518650893929,0.00124241385698578,0.04301062230441,0.322406173107599,0.333018338244097,0.00104374391776513,0.298900189918249
7806,5639,0.00114629859876194,0.00871425819613047,0.579479393609497,0.202077471481335,0.174213724737645,0.00179628033138132,0.0325725730452488
9805,1924,0.00163861107285954,0.0271607741288179,0.146354433013794,0.463532769041002,0.180395557019102,0.00218373884019447,0.178734116884229
8631,9236,0.0222615110926062,0.0149442369301271,0.1257068735957,0.346569627356445,0.24516957817075,0.0876406821975687,0.157707490656803
6426,9474,0.00227730682204047,0.0092849538125986,0.173126586391195,0.424893811821778,0.0890501932612597,0.00498855566948203,0.296378592221647
9943,2403,0.00485347694479165,0.0246772870855586,0.156039568809417,0.354620094117683,0.298396653845038,0.0112400453650516,0.15017287383246
