"x","y","Macrophages/Microglia cells","Epithelial cells","Astrocytes","Proliferation","Endothelial cells","Fibroblasts","Neutrophils","Oligodendrocytes","Neurons","Mesenchymal cells"
9389,7438,0.181419928195775,0.000287968603402094,0.00482294889998017,1.48561235101138e-06,0.00592496670447078,0.622732636274964,0.00229610033061215,0.0573878999111424,0.0923292964138051,0.0327967690534968
5327,1802,0.307733090212306,0.000429266045863008,0.00230238960869755,4.21554821965091e-07,0.11993459388617,0.305128224668754,0.0133799525418049,0.0342771650068321,0.0395471544464531,0.177267742028297
3670,8514,0.175901247682011,1.11429961545959e-05,0.000665931866008713,1.8230232249011e-07,0.593392072284869,0.143912380440079,0.00346331768641117,0.0227660361795935,0.0124170654230364,0.0474706231395136
8840,3122,0.170224288683742,6.78682752899379e-05,0.000595955657486058,1.59999573455081e-07,0.340896090665586,0.329962871751347,0.00986138652763977,0.0469578061622229,0.0171949512319724,0.0842386210451418
5323,10193,0.0815606199355833,0.000215926958211138,0.0205387242382905,8.92895900461453e-06,0.0507096021156461,0.532855153741632,0.0105031488824029,0.00705686132021193,0.175225314399543,0.121325719449474
9044,8756,0.0817618613078971,0.000129986107945788,0.00119877700306007,3.74998631952422e-06,0.0523011925383096,0.31087444076889,0.0132586793034313,0.00352232778396726,0.00553076561251739,0.531418219587662
4292,6476,0.218002412509238,0.000184055525836063,0.00438652351504633,3.35019843907522e-06,0.0739977975581215,0.507424698502357,0.0213565810941522,0.00333776703038306,0.0764201305533652,0.0948866835130611
5255,7676,0.126535203074341,8.61827007112333e-05,0.0054512359557744,1.68195219799625e-05,0.0668071035584111,0.517639619853449,0.0144627937366264,0.00269996258512411,0.0809360344505514,0.185365044563031
8080,9235,0.261708051096304,0.0015049739639502,0.00545819837952594,1.65505240864489e-05,0.0355499592510028,0.521931886027022,0.00609177396279801,0.0471853460999864,0.0235018204029037,0.0970514402924203
3672,5877,0.2295508117861,0.000117211307730433,0.00387660832059364,1.78686332264877e-06,0.0185587482393914,0.615275589551725,0.00293119517924347,0.0123383550649889,0.0434342513311297,0.0739154423557753
6774,2162,0.301693286997978,0.000281451754878988,0.00294963529852499,1.53477336027831e-06,0.0200205927460559,0.414061848413151,0.0204797332339834,0.0133924617228076,0.0183035502100499,0.20881590484921
7806,5639,0.103229241379886,1.6504604694198e-05,0.000439023275930792,4.53336517336381e-07,0.635067599885939,0.187560883332471,0.00139099703150471,0.00348072314462242,0.0179746199430657,0.0508399540653682
9805,1924,0.0910379966913674,0.000282528808192657,0.0112810853925126,1.76885122708488e-05,0.0319352401253282,0.606352415100976,0.00409045088236597,0.0206211223589546,0.13161735220493,0.102764119923101
8631,9236,0.167037737417657,0.00127530369145297,0.0193804068781065,0.00438845472799138,0.0513136728780694,0.491904336960866,0.0239774571151138,0.029746087622932,0.131652785276481,0.0793237574313296
6426,9474,0.116921342969056,7.26443630628845e-05,0.00387911281177597,2.62714625779316e-06,0.488574512049701,0.231469001652046,0.00610611661409554,0.0195161659949725,0.06749892182358,0.0659595545754523
9943,2403,0.148695889772688,8.72481157016249e-05,0.00490319041607096,3.42826057582766e-06,0.0341080981359633,0.575655375564341,0.00697854761096346,0.0222362754001538,0.0368381964421554,0.170493750281387
7184,9355,0.199400547741164,0.000811859162461326,0.00654163366677918,6.05095152665385e-06,0.0279374359897645,0.418453585191486,0.0186809099804373,0.0259633876840172,0.0740945130830873,0.228110076549277
3671,6836,0.230000994220955,0.000139471860526708,0.00458043469533538,3.45993535337029e-06,0.0393614601759406,0.474977075460066,0.0339756984351769,0.00146591746138282,0.095662254871563,0.1198332328837
2499,9113,0.186114103189306,0.000106248907596845,0.00182205151335057,2.59574113482613e-06,0.0360988603981751,0.62888383405017,0.0107442998669509,0.0159971631174627,0.0323606561839368,0.0878701870319162
9595,9956,0.266303025887065,9.29505647419109e-05,0.00022339211165945,1.935349781305e-07,0.351968837302797,0.252386924212594,0.00210956518288942,0.0465838400828115,0.0161684353429107,0.064162835777553
3397,4917,0.29760307285422,0.000279589851808152,0.000619442936446508,2.89802965478794e-06,0.0149810341993273,0.401377390654099,0.00618474879399337,0.0502656547779677,0.000859220796373125,0.22782694710611
6082,8875,0.0760231049926272,3.42910458747745e-06,0.000889251260814771,4.89164511623142e-07,0.703438806611373,0.0828224977072764,0.00116084709097272,0.0224449537204995,0.0443242422367908,0.0688923781105469
6151,8036,0.145661297092911,3.24337639197861e-05,0.00796680799818746,9.09386376589523e-07,0.29497243343276,0.377829107094499,0.00934501563187556,0.00422411013115713,0.0725058882917556,0.0874619971765581
6635,4320,0.371217612337976,9.01879098920061e-05,0.000287366011504567,9.94986781902321e-07,0.0176461234618279,0.471627649028596,0.00667317729098612,0.00117889712108172,0.00208323388028005,0.129194757971074
4155,4318,0.166816019366312,0.000492759272502303,0.00198373382797942,1.32980452690188e-05,0.539604249527831,0.133323007357448,0.0104814331384176,0.0479372967726923,0.0256421710920033,0.0737060315995455
9667,2643,0.164860606057421,0.00032007315980767,0.00311801198464862,9.89278647081661e-07,0.0101201348079066,0.666344353692166,0.0063031009710947,0.0519148386795608,0.0249165856823208,0.0721013056864261
4222,7555,0.159729611398455,0.000135664792808032,0.00428201437610841,1.57241361626053e-05,0.0454678527956764,0.52659551440588,0.0201715687761621,0.00924779367859776,0.0993942491753278,0.134960006464822
5947,2641,0.242282268874807,4.10106616533694e-05,0.000433366993698941,5.18321809868695e-07,0.0980751817208478,0.426866778471894,0.00635442974349233,0.034668102098659,0.0137915244084213,0.177486818704716
3396,5877,0.240878265586463,3.05219220177772e-05,0.00012386785899901,3.24280631290394e-07,0.0100557660370246,0.65614829895648,0.00193876548014447,9.61473854142938e-05,0.00029167369908498,0.0904363687937409
8839,6718,0.12332067632438,0.00109599376533349,0.0163189270747168,1.59034290930291e-05,0.0483836854668443,0.568055775961914,0.00822320581879098,0.0883747993001502,0.115543961617385,0.0306670712413916
8977,6479,0.171577670307658,6.16263419567884e-05,0.000711031364678406,1.81075021794376e-07,0.414525471383155,0.329979674624727,0.00251355003613488,0.037926160918821,0.0112052974669331,0.0314993364809151
8427,3122,0.0959675137539892,9.593465595643e-05,0.00242502884967547,3.34008197900283e-06,0.104627362853212,0.65713339232928,0.00640135127609496,0.0214248048765359,0.0152018725214085,0.0967193988018686
10286,5161,0.0993788481625808,4.16768342354514e-07,2.87071997176291e-05,1.86526136689742e-08,0.767016160965545,0.10092408414634,0.000281557633890616,0.000800942499633043,0.000162017291460518,0.031407246679876
7116,7077,0.104700325916079,2.38197088909689e-05,0.000858126066726311,4.44872320067601e-07,0.36135106115217,0.407245463336638,0.00264922631967095,0.0392422761987095,0.00830048113272602,0.0756287752960688
