"x","y","Endothelial cells","Neutrophils","Astrocytes","OPCs","Epithelial cells","Proliferation","Mesenchymal cells","Macrophages/Microglia cells"
9389,7438,6.57347809610106e-08,0.00565076143071492,0.866319726473981,0.000383261643891922,0.00230628486875987,4.5048679677526e-11,0.00042926073406833,0.124910639068754
5327,1802,2.88846965074061e-13,0.00254081423178183,0.881271337403791,7.15709350444787e-10,9.91862552646599e-08,1.37641535740104e-21,0.0138702202352664,0.102317528226908
3670,8514,0.481058735031193,0.0281465995888604,0.338045249404013,7.27593917246897e-06,0.000756839983969733,8.86649916784325e-13,3.18405185594627e-05,0.151953459533346
8840,3122,0.0598720432444524,0.00675593638270241,0.829393305787138,2.58329458443845e-06,7.09775055049339e-05,5.67835774589302e-12,0.00918847012153116,0.094716683658408
5323,10193,6.55015936023238e-07,0.00869119004532769,0.707242237378657,0.0104958929293703,0.203904841845022,5.49589282031537e-07,0.000361311933641186,0.0693033212627634
9044,8756,4.42796580628209e-06,0.0374086278829523,0.397601162218579,2.91281101236287e-06,0.00018417505193145,1.85644785783578e-05,0.486338390931278,0.0784417386598624
4292,6476,8.58889445311731e-06,0.0110021856756234,0.790872357061081,0.000598335548299469,0.0218683153802937,4.77125693270912e-11,0.0236541010426649,0.151996116349872
5255,7676,0.000541553017707304,0.0142381304205634,0.515781017880433,0.0189472883364866,0.173035700028465,0.00131170610857034,0.112135697941249,0.164008906266526
8080,9235,1.86678367871343e-13,0.00706576369993835,0.905667781884683,5.23939013836585e-09,6.09435775333593e-07,2.33202337958407e-17,1.19869361056615e-07,0.0872657198706659
3672,5877,7.11380571912259e-09,0.00779210979113081,0.832274458289043,2.13467967501214e-05,0.00206539182604566,9.23393305761499e-10,0.0132882837993086,0.144558401460523
6774,2162,1.25018201819302e-13,0.00202905740093779,0.838493212553469,1.00982308910932e-07,1.95094079175222e-05,3.96417229170661e-17,0.0341773462698694,0.125280773385372
7806,5639,0.415439653088246,0.0156747220591574,0.505127014047934,4.47640087665882e-08,1.54856768300486e-06,3.27303106276497e-15,0.0046624541783856,0.0590945632945816
9805,1924,1.06292921528895e-09,0.00505346458751246,0.927279428418272,2.72761590728517e-06,3.34456475538341e-05,4.89488429079426e-13,0.00563537962121872,0.0619955530461165
8631,9236,6.24617513178135e-13,0.00862254130021551,0.934717264772008,4.72709167782304e-08,2.69229825501562e-06,2.14920216452227e-10,1.81053357440222e-08,0.0566574360377237
6426,9474,0.20250734898997,0.00639571162778827,0.720166061719223,9.51964813194838e-05,0.00609455134090155,3.74670045137998e-11,8.77365087006643e-06,0.0647323561524601
9943,2403,8.61770642995983e-13,0.00238925156073986,0.899483143360241,6.48941287286567e-08,5.60413375385341e-06,1.9624278217013e-14,0.0213263372762932,0.0767955987739618
7184,9355,3.65908690973971e-12,0.00405023205568467,0.880426119877507,1.91222159031313e-06,0.000151916208751911,1.19238323303573e-13,0.038885879481498,0.07648394015119
3671,6836,3.32803039314032e-07,0.00290753088957147,0.745787698161432,0.00029805363342239,0.00681695772828085,3.21524975729664e-11,0.0595193643065201,0.184670062445582
2499,9113,4.90386032848937e-10,0.00507727237247858,0.844528743694236,4.00008208494125e-06,0.000853924748408118,1.89580954787845e-13,0.00295932577460015,0.146576732837617
9595,9956,0.0947532759322063,0.0115511037426481,0.726635943026056,3.85296573723814e-07,1.50297108085908e-05,2.72221479714242e-13,0.00245295199766326,0.164591310293771
3397,4917,1.2341213221416e-15,0.0020986983530846,0.83257625033822,8.44842925222932e-11,7.06685777885859e-08,4.68665391711983e-22,0.0207723006036655,0.144552679951967
6082,8875,0.505776627183447,0.0209398110605525,0.386361184542741,0.000753669971759718,0.0192402989402807,1.62570778269584e-10,2.95608264195285e-05,0.0668988473122286
6151,8036,0.0585074132635836,0.0117807669003559,0.817628494539797,1.44805875541745e-05,0.00199535307774252,2.34661662310351e-13,0.00627692323732427,0.103796568393408
6635,4320,5.32976601772097e-12,0.00659885340409613,0.714154068008614,8.96769208550888e-08,3.73766898739844e-06,2.84602052656803e-17,0.0514667155902904,0.227776535645761
4155,4318,5.84186053938288e-12,0.00196076210737567,0.981453814536107,4.54141391251066e-12,2.248413239792e-09,3.90306187656685e-25,1.53964809551429e-15,0.0165854210977194
9667,2643,4.60559689933891e-20,0.00149005736622459,0.973364628780943,2.1461440707968e-12,2.1902201598684e-09,2.27792502944588e-26,3.11168735754112e-13,0.0251453116601554
4222,7555,4.07815534924371e-05,0.0265549874719447,0.579859897486273,0.00709871636589873,0.17376067465132,1.00265258520044e-05,0.0493108494156732,0.163364066529546
5947,2641,1.31475808594217e-06,0.00612913619340146,0.772119800144902,9.26415988357057e-07,2.67222244491645e-05,1.47040722609365e-15,0.0862441297646198,0.135477970498552
3396,5877,5.78481983361565e-08,0.00892626101551586,0.686345927620764,4.08512127609745e-06,0.000136682977894672,3.44500722286155e-12,0.0562126141284809,0.248374371284425
8839,6718,8.62177698229607e-16,0.00254377298030099,0.97685643937383,4.99238704881359e-11,1.59454815579863e-08,4.38483687703483e-21,5.099140941841e-14,0.0205997716504116
8977,6479,0.144237103306967,0.00885912886784484,0.76672105819365,4.61920155797375e-07,1.93721205074273e-05,1.76539770056806e-13,0.000668745333808789,0.0794941302568898
8427,3122,2.09613195569043e-14,0.00348456458365266,0.968699434548861,1.48997301308946e-10,4.21182433025901e-08,1.15482556985121e-19,1.02552949854206e-07,0.0278158560472753
10286,5161,0.619487616797776,0.0268381976595607,0.270033389210631,6.59567349000712e-08,1.4737530068013e-06,7.11594990496516e-18,0.0145637564260504,0.0690755001962401
7116,7077,0.0596698105565781,0.00739690233386465,0.861879471945196,1.59465809229973e-06,0.00012101329369716,6.0117147308032e-15,0.00191781026194241,0.0690133969506231
9666,5760,0.419499667716759,0.0632691899577641,0.35972301266565,2.38660662195148e-06,8.41553973182979e-05,1.09722334711919e-13,0.0332995926464293,0.124121995009348
7805,7797,6.88454070331573e-10,0.00674523943253948,0.936886644451183,3.70502775499735e-07,1.37546824238049e-05,1.6198840580467e-14,9.33718794046825e-07,0.0563530565238139
8355,9236,9.40723118671802e-10,0.0169027435193167,0.933537845562193,4.58799325596997e-08,9.32839195090822e-07,1.74470758368256e-14,2.48795966616851e-11,0.0495584312337427
9320,7798,1.42358832513656e-15,0.00450757720064162,0.929509120088925,5.75625087788886e-09,3.62167543540756e-07,1.08639836448861e-18,5.38580794582152e-11,0.0659829347327798
10011,3962,0.338511529129617,0.0160902133670667,0.571818610247194,2.88701677600631e-07,2.67215456961314e-05,4.38087022275491e-12,0.00189404487878759,0.0716585921255796
4017,3359,0.135003931497104,0.0171036952174293,0.589460510226861,0.00247257254254539,0.0311278244317425,1.15131922568676e-06,0.0672099202105887,0.157620394554504
7118,3001,1.59582425275157e-09,0.00608384463784634,0.864815647414205,1.81579567097413e-07,1.46412275427542e-05,4.54326275860296e-16,0.0105677006096686,0.118517982935345
5877,5398,7.49034832664577e-10,0.0120444667516247,0.85715659023093,1.84913124021002e-05,0.000191253978846702,6.60161752997436e-14,0.00010249722983834,0.130486699747257
6359,5518,4.02482206254333e-14,0.00485596097585876,0.894157879591279,2.15370935581293e-08,4.23724229458568e-06,1.4373874209768e-18,0.00360681736825361,0.0973750832851803
8289,3122,4.52045412023353e-17,0.00311888437299619,0.977705060495383,1.41059222750325e-10,8.76802476609602e-09,4.39652214479126e-22,3.93912596205583e-10,0.0191760458286246
4497,8035,0.000216450525970459,0.0101119044011774,0.606361685659536,0.0235706473462192,0.161851889486707,0.00326685401084501,0.0462159670216719,0.148404601547873
3674,2040,0.413582682124941,0.00361106891821761,0.4507006298864,1.28510087166229e-06,2.39089343447634e-05,1.13252869176825e-14,0.00678738845859865,0.125293036576615
8565,2163,1.29617721019375e-17,0.00236282993105789,0.900155559996214,1.26367634930323e-09,1.49697144103845e-07,8.63685517836716e-20,0.0393454100772008,0.0581360490347068
4636,7076,0.00301093864449224,0.0176963231555819,0.768699299068026,0.000511434082969988,0.0355100825598655,2.55938622919345e-08,0.0192251734542886,0.155346723440913
5257,4799,2.04894660902746e-12,0.0130421609885032,0.777313591005414,1.74226356773051e-07,7.27534446822898e-06,2.07451888450872e-16,0.0622870809822517,0.147349717450957
4910,8754,0.000733317011899798,0.00475234333778243,0.876612259939501,0.000388333641598208,0.0444700048857788,6.40341699277866e-06,0.00188794950294288,0.071149388263504
4086,4918,2.79628437426536e-09,0.00540007453976111,0.903641144792339,5.8036343445321e-09,3.62292896405181e-07,1.38273294788097e-18,4.36338889706718e-05,0.0909147758861141
8769,7557,9.32625393208091e-13,0.00419688972709841,0.949256224618421,2.65562256624615e-07,6.6716638462869e-06,2.44143529896003e-16,2.05747925717006e-09,0.0465399463699655
6843,2522,1.18428190748049e-14,0.00340846399403466,0.864417120752194,1.1198568540342e-09,2.57247100611691e-07,8.85841701268084e-21,2.96799963342506e-08,0.132174127206805
3809,6836,1.80864300079966e-11,0.00517764318812308,0.881192375662756,3.13811179245923e-07,0.000105313543268393,2.57032547158404e-16,0.0220860969228705,0.0914382568537157
4707,2161,8.39187882771766e-05,0.0161490800621185,0.608514341580644,2.41097845271005e-08,5.61368303698621e-06,1.73467902980745e-13,0.252610217299127,0.122636804476839
4497,8514,5.81947196316678e-06,0.00968620051174446,0.874846227415307,0.000263408811963333,0.0211084709616772,1.54254081693634e-09,0.000419571860267006,0.0936702994245367
4499,4918,4.72477054520336e-07,0.00503310965609382,0.665688040420545,1.01729641763667e-06,9.97905147343666e-05,2.78840876994715e-07,0.16119836283532,0.167978927958958
10147,7318,1.05590862044236e-16,0.00501145154766965,0.923680147902963,8.34559996802989e-09,6.00884689239426e-07,5.45448168481513e-18,1.4216409304341e-11,0.0713077913048612
10149,3482,0.0336342262420392,0.0029655304194462,0.831238487056957,2.71662779479867e-08,2.86791135268488e-06,1.41649395794628e-18,0.00166643488648003,0.130492426317447
5944,9115,0.00805385526910589,0.0186542127614775,0.803273075532457,0.00124057051185041,0.0692943808271581,1.36349192292659e-09,0.0126745927215173,0.0868093110129421
