"x","y","Neurons","Cytokines","Epithelial cells","OPCs","Endothelial cells","Proliferation","Mural cells","Macrophages/Microglia cells"
9389,7438,0.00128647302178291,0.00653526012370998,8.71449970353905e-05,0.406371249017918,0.111533115532215,1.73447936593702e-05,0.151481157886005,0.322688254627674
5327,1802,0.00337744687444511,0.0193344836807805,0.000505114855352443,0.147488364786653,0.102883338978132,6.57430613919387e-05,0.456706721098661,0.269638786664585
3670,8514,0.000514420013658172,0.00262884767953139,4.99158027654346e-06,0.33239768612516,0.26937384610889,6.09009282053087e-06,0.0776384152841568,0.317435703115506
8840,3122,0.0043062136780996,0.0199781738596228,0.00125932809006914,0.0611505471370091,0.234572686621886,0.00065586979132751,0.164570866351561,0.513506314470425
5323,10193,0.000652413240631483,0.00115345439271372,2.43269936618126e-06,0.452387272755129,0.13621890085855,3.88324962654557e-05,0.104297026452399,0.305249667104946
9044,8756,0.00142518496374263,0.0129923482139156,0.000623187103612734,0.00957230024863037,0.0227706420535531,0.0008516994245875,0.887050889558798,0.0647137484331601
4292,6476,0.00316912455638244,0.00787404087031495,2.15444739661359e-05,0.199754044018694,0.167391750706776,0.000152688268767008,0.0861853509569978,0.535451456148102
5255,7676,0.00206623098494728,0.00496815502675728,6.60771339261749e-05,0.138952958368739,0.168749400128179,0.00170423975448525,0.13621898902129,0.547273949581675
8080,9235,0.00201593811230337,0.0170073413372791,0.000976289576314724,0.307359841425371,0.106943057318721,0.000534069691795983,0.262445625126665,0.30271783741155
3672,5877,0.00138178786371846,0.00679699735741573,6.61493088847247e-05,0.288550962245493,0.102070601233925,0.000247884971143743,0.196377692178989,0.40450792484043
6774,2162,0.00176267609007701,0.0220674516609228,0.000232894470537941,0.16517274548942,0.0738925044524919,0.000110966543049332,0.437271087329156,0.299489673964346
7806,5639,0.00117360900852799,0.00437922808908694,6.14634493532116e-05,0.183780767722067,0.306492576636624,3.40578075946331e-05,0.0799794607594462,0.4240988365273
9805,1924,0.00405934513278205,0.0156686100996428,0.000423781862071833,0.274362349538758,0.171618778489285,0.000119747917235303,0.25384816446317,0.279899222497055
8631,9236,0.00275895284394061,0.0124883418450415,0.000254608607482119,0.41974160438137,0.117586189061569,0.00480637629967135,0.18297479390608,0.259389133054846
6426,9474,0.000208050433550813,0.00150676876779457,1.80942011953409e-06,0.489364478252768,0.155468437276206,7.97522294828764e-06,0.10613768176114,0.247304798865473
9943,2403,0.000995852177797658,0.0124555949738992,0.000746690633044265,0.179558466170495,0.140900066621882,0.000315495223907263,0.341664534336216,0.323363299862758
7184,9355,0.00016178511016074,0.00306714644659934,8.71874762262763e-06,0.3836910307867,0.0522495348400855,2.6503802721648e-05,0.363988633046034,0.196806647220076
3671,6836,0.00122302200098175,0.00378425925264159,1.17507323942487e-05,0.223971222021915,0.164225800354793,8.07481676022834e-06,0.134694210278806,0.472081660541708
2499,9113,0.0022398675823659,0.024769159286379,0.000214111361078498,0.155048248039762,0.178125798006855,0.000436263427282746,0.0884560055879897,0.550710546708287
