"x","y","Macrophages/Microglia cells","Endothelial cells","Neurons","Proliferation","Astrocytes","OPCs","Oligodendrocytes"
9389,7438,0.0979996007715943,0.182119256803232,2.27989984361221e-06,3.00472751704633e-05,0.652104023697455,0.0002618814901915,0.0674829100625133
5327,1802,0.222000481702099,0.00490547535238904,3.64384929170393e-09,3.62752224015079e-08,0.763156109119148,1.86425147259529e-07,0.0099377074821449
3670,8514,0.195403902585901,0.406307998627408,2.113724276818e-09,9.34743527678241e-06,0.383362950102074,1.550567627845e-07,0.014915644078853
8840,3122,0.305008149280992,0.0241798594462809,3.77330835520849e-06,2.37732607533565e-05,0.615050499839505,5.37367580475499e-06,0.0557285711883088
5323,10193,0.0935680145332878,0.450939725533922,4.88989954878539e-09,2.30229336250807e-05,0.437893755312105,8.82746268677375e-06,0.0175666493344741
9044,8756,0.379528580471722,0.165499428269672,0.00142791247077227,0.000124098511871963,0.418922831277995,0.00233980176744591,0.03215734723052
4292,6476,0.266987728104065,0.235034255847143,1.03348490944263e-07,7.59468330849492e-05,0.481763116814471,7.603332437076e-06,0.0161312457203087
5255,7676,0.254749918556923,0.427184139183437,1.45013347012219e-07,0.000586071337731871,0.294417825983232,2.39388608114218e-05,0.0230379610645172
8080,9235,0.159962493092232,0.0150412414960128,6.67439680215705e-07,1.9686812011457e-06,0.797085052079131,1.67281428000423e-06,0.027906904397463
3672,5877,0.199025620705469,0.249931071078439,3.24425860298665e-08,5.12765322986713e-05,0.525830610823604,2.5983826661076e-05,0.0251354045909424
6774,2162,0.221634259454089,0.0323353173268127,1.30970541577102e-07,2.28910654103308e-06,0.728012101353324,4.74321601237477e-06,0.0180111585726799
7806,5639,0.262905615330723,0.227094442029056,7.46640049622725e-07,0.000189182486171904,0.497571578916468,3.65907735149372e-06,0.0122347755201797
9805,1924,0.139938953509108,0.21600347382915,2.76891660566792e-07,2.1476122089932e-05,0.624219818733557,0.00026156885315909,0.0195544320612759
8631,9236,0.13151549611561,0.0950297795575331,7.46682784981446e-08,0.000259700935640068,0.762408163118574,2.34390428401433e-06,0.0107844417000806
