"x","y","Astrocytes","Epithelial cells","Neutrophils","OPCs","Endothelial cells","Proliferation","Macrophages/Microglia cells","Mesenchymal cells"
9389,7438,0.354308025227993,2.8166817613532e-06,0.33026111351523,1.65658021167358e-06,6.43565806043722e-06,1.58838251890709e-09,0.278306488375348,0.0371134623730135
5327,1802,0.255981969325192,5.59931218861722e-12,0.422534559536985,9.962273937026e-14,3.32789196412738e-12,1.77001104050451e-18,0.26864596528324,0.0528375058455556
3670,8514,0.0657706429486721,0.00452745770110332,0.306718327458679,7.93599123395683e-05,0.218453394478951,6.54363880924557e-07,0.336706585246186,0.0677435778901876
8840,3122,0.13709641890946,7.01893717308134e-08,0.545177477971942,3.30925163289379e-09,0.000151981120404458,3.74373670778195e-11,0.254465251774701,0.0631087966874319
5323,10193,0.221351855855455,0.000363834022227518,0.3660212180486,1.05816385712298e-05,0.0108781836083555,2.72495009571415e-06,0.286240070473686,0.115131531403009
9044,8756,0.0931023132638425,0.000127482519065526,0.315717824661345,8.20794356207723e-06,0.000176767409649592,1.61508478795938e-07,0.085333019533116,0.505534223160941
4292,6476,0.142301820298079,1.44878624691735e-05,0.42598730148776,1.69306962877036e-07,0.000123364493363693,3.88836387274981e-09,0.342513580065238,0.0890592725977633
5255,7676,0.0813622465626789,0.0206605098742181,0.319436389039053,0.000972006115140401,0.0968377627427389,0.000189514265277172,0.291150796067659,0.189390775333235
8080,9235,0.334800215724611,7.33271757922144e-09,0.436796779875046,4.41588513400694e-10,6.81547691715767e-08,3.27005561744769e-13,0.202848907487373,0.0255540209835671
3672,5877,0.133566298455444,1.93003761584986e-06,0.429513214713176,1.79900492361637e-08,1.70410569752145e-06,8.98841796212347e-09,0.350585007901311,0.0863318178082877
6774,2162,0.150978056947452,1.42346591478105e-10,0.453095347955417,1.74533037411947e-12,4.67198986792701e-11,3.73489537541484e-15,0.288772754917961,0.107153839988355
7806,5639,0.123486575983232,2.24571435735303e-05,0.536316851700904,5.1471846212718e-07,0.0434174568246227,8.27103971951168e-09,0.215652038210475,0.081104097147692
9805,1924,0.302303143420425,4.03396211900887e-08,0.504451582301002,2.04125966826437e-09,1.0035461587078e-06,2.36481438081893e-10,0.151927099048889,0.0413171290661636
8631,9236,0.367994305644936,1.36865316478162e-07,0.441090431585721,3.15165927362531e-09,6.6924636112697e-07,5.7281701982282e-08,0.148369652430548,0.0425447437937568
6426,9474,0.140414066248129,8.41522753242556e-07,0.407828146502677,1.63272607860521e-08,8.49356046129135e-06,1.01737962065696e-09,0.371369104026908,0.0803793307944313
9943,2403,0.359189258704306,7.45505206582932e-09,0.447639857511233,6.30713890723694e-10,5.68889544883933e-08,4.51970419506914e-12,0.144669359354203,0.0485014594510179
7184,9355,0.218501338561202,6.83386328977782e-09,0.446003213593477,3.02779806686306e-10,4.3592239383748e-09,2.99289055194894e-12,0.229125514935658,0.106369921410804
3671,6836,0.0878665024751323,7.9411630807184e-05,0.459048896905301,2.8701254301181e-06,0.00189785045102544,8.5244091942349e-09,0.330873512074908,0.120230947812987
2499,9113,0.154558572525846,1.29290833379077e-06,0.536371695386091,9.925419083189e-09,3.24671392359848e-05,1.05257591072437e-09,0.227340868193273,0.0816950928692253
9595,9956,0.266754524159935,8.37660950854926e-07,0.344339821208554,6.16777553608103e-08,4.54979347646745e-05,9.03321127862971e-10,0.332835936318085,0.0560233201366344
