"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"UBE2C",6.24898066082171,0.483,0.014,0.469,0,0,"5"
"NUF2",6.21858800237067,0.537,0.011,0.526,0,0,"5"
"CDC25C",6.21286331855359,0.131,0.002,0.129,4.11014779053049e-195,9.86846484506371e-191,"5"
"CDC20",6.12532720960987,0.359,0.007,0.352,0,0,"5"
"BUB1B",6.1159050953284,0.35,0.006,0.344,0,0,"5"
"CKAP2L",6.0623536544158,0.357,0.008,0.349,0,0,"5"
"SGO1",6.00827700109533,0.344,0.006,0.338,0,0,"5"
"DEPDC1",5.98100345427542,0.335,0.007,0.328,0,0,"5"
"IQGAP3",5.97645452304816,0.134,0.002,0.132,1.86226279071692e-202,4.47129296051133e-198,"5"
"CASC5",5.93439040986821,0.311,0.005,0.306,0,0,"5"
"BUB1",5.87442016950989,0.362,0.01,0.352,0,0,"5"
"KIF14",5.78090239698688,0.374,0.008,0.366,0,0,"5"
"CCNB2",5.76987552641171,0.3,0.006,0.294,0,0,"5"
"CEP55",5.76985284599617,0.386,0.009,0.377,0,0,"5"
"HMMR",5.68517853683676,0.502,0.018,0.484,0,0,"5"
"PBK",5.60216728108158,0.529,0.016,0.513,0,0,"5"
"MKI67",5.53300107744553,0.725,0.029,0.696,0,0,"5"
"NCAPH",5.51746442558933,0.284,0.006,0.278,0,0,"5"
"BIRC5",5.50154048229706,0.685,0.02,0.665,0,0,"5"
"FXYD7",5.24080763278475,0.12,0.004,0.116,1.60257975769055e-136,3.847793998215e-132,"6"
"ME1",4.02422445000238,0.337,0.02,0.317,1.97933397664074e-294,4.75238087791441e-290,"6"
"NEFL",3.20918671917235,0.543,0.084,0.459,2.17509593989024e-245,5.22240535167646e-241,"6"
"CADM3",2.94418293212298,0.265,0.027,0.238,1.52262432799332e-155,3.65582101151196e-151,"6"
"AC017048.3",2.85918507468041,0.139,0.013,0.126,3.28983373646616e-88,7.89889080125525e-84,"6"
"SCG3",2.81657030493777,0.267,0.033,0.234,8.76571988050379e-135,2.10464934330896e-130,"6"
"C2orf80",2.68769815648439,0.309,0.037,0.272,5.13091729163e-160,1.23193324172036e-155,"6"
"LY6H",2.56002811879183,0.128,0.015,0.113,1.28557730203256e-66,3.08667110218018e-62,"6"
"PRPH",2.34013535666671,0.2,0.03,0.17,2.94312968276157e-82,7.06645436831053e-78,"6"
"C21orf37",2.3370810531314,0.228,0.044,0.184,1.98122104059201e-73,4.75691171846141e-69,"6"
"ACTA2",2.32960343523415,0.165,0.042,0.123,4.53977526252639e-37,1.09000004053259e-32,"6"
"LAMP5",2.29764150025601,0.111,0.022,0.089,1.013269319143e-33,2.43285963526234e-29,"6"
"SH3BGR",2.29697909955773,0.433,0.103,0.33,5.47089631977555e-119,1.31356220637811e-114,"6"
"MEST",2.16160742095628,0.319,0.07,0.249,6.54195632967223e-91,1.5707237147543e-86,"6"
"QPCT",2.15597578413573,0.119,0.027,0.092,3.27971332347706e-31,7.87459168966843e-27,"6"
"ALPK2",2.08793668992525,0.17,0.044,0.126,1.10359474856071e-38,2.64973099129426e-34,"6"
"SNTG1",2.0496355480638,0.243,0.051,0.192,7.55970589948644e-70,1.81508538646669e-65,"6"
"HLA-DRB5",1.99453569115027,0.131,0.032,0.099,3.84727755699545e-32,9.23731341434607e-28,"6"
"LRRC2",1.98578045052637,0.28,0.068,0.212,1.07038905982631e-68,2.57000413264297e-64,"6"
"TMEM176A",1.96130613749968,0.181,0.034,0.147,1.29821590442702e-58,3.11701638652928e-54,"6"
"KCNE4",1.92256172862493,0.107,0.024,0.083,3.41949709165706e-28,8.2102125170686e-24,"6"
"CCND2",1.85932953345341,0.259,0.099,0.16,2.46745280637272e-32,5.92435418810091e-28,"6"
"CHRDL1",1.80529057258328,0.298,0.062,0.236,6.33270439035944e-86,1.5204823241253e-81,"6"
"LINC00632",1.8052861045291,0.119,0.028,0.091,5.14977609616327e-29,1.2364612406888e-24,"6"
"JAKMIP2-AS1",1.78130347581528,0.15,0.044,0.106,2.11473337496831e-27,5.07747483329891e-23,"6"
"ETV1",1.7389958049268,0.115,0.035,0.08,2.00310525761894e-20,4.80945572354308e-16,"6"
"RP11-536O18.2",1.72385240401447,0.137,0.027,0.11,1.20600456008449e-41,2.89561694876287e-37,"6"
"TMEM176B",1.69140536848684,0.23,0.058,0.172,2.08769744040037e-51,5.01256155440128e-47,"6"
"SELENBP1",1.66634171942054,0.156,0.053,0.103,4.2344373091374e-23,1.01668839792389e-18,"6"
"PRSS35",1.63591127336616,0.126,0.027,0.099,4.28156297764711e-35,1.02800327093307e-30,"6"
"FAM111B",3.98487228299691,0.663,0.078,0.585,0,0,"7"
"CCNE2",3.68703160897521,0.561,0.072,0.489,5.7626564484639e-308,1.38361381327618e-303,"7"
"PCLAF",3.56196328643081,0.542,0.072,0.47,6.43190784749124e-286,1.54430107418265e-281,"7"
"CCNE1",3.52140127995956,0.143,0.019,0.124,1.67354066430271e-67,4.0181711349908e-63,"7"
"ASF1B",3.28818982119636,0.117,0.02,0.097,2.46369612447052e-44,5.91533439485371e-40,"7"
"DTL",3.24699517443046,0.123,0.02,0.103,2.09716920382707e-47,5.03530325838879e-43,"7"
"TFDP1",3.22109709850572,0.523,0.124,0.399,4.31247682367002e-162,1.03542568536317e-157,"7"
"TMEM44",3.21332237296558,0.114,0.015,0.099,8.5246431397255e-55,2.04676681784809e-50,"7"
"ZNF367",3.19608912654312,0.184,0.029,0.155,3.45040886080389e-74,8.28443167479013e-70,"7"
"E2F7",3.16724093507373,0.285,0.042,0.243,1.00701531436538e-124,2.41784376979129e-120,"7"
"CDC6",3.06665723329891,0.169,0.031,0.138,6.65405830562473e-59,1.5976393991805e-54,"7"
"GNG4",2.96710465547448,0.235,0.035,0.2,8.1713326674429e-100,1.96193697345304e-95,"7"
"GCHFR",2.96656190861043,0.142,0.028,0.114,5.86590787720058e-45,1.40840448131586e-40,"7"
"TCEAL6",2.90187289977742,0.145,0.023,0.122,1.01693425818856e-58,2.44165915391073e-54,"7"
"MAP3K7CL",2.83366927299518,0.119,0.026,0.093,2.67749893807661e-33,6.42867495032195e-29,"7"
"CLSPN",2.77839818931658,0.438,0.095,0.343,2.18446352539935e-137,5.24489692448383e-133,"7"
"S100A2",2.77025573051467,0.181,0.059,0.122,1.40349130928857e-29,3.36978263360186e-25,"7"
"RRM2",2.69992337309786,0.153,0.03,0.123,3.40344754991775e-48,8.17167756735252e-44,"7"
"RNASEH2A",2.59432423940393,0.168,0.038,0.13,8.56706243213845e-45,2.05695168995644e-40,"7"
"AMOTL1",2.59159456204834,0.222,0.049,0.173,4.60091473792345e-62,1.10467962857542e-57,"7"
"EZH2",2.58771912224652,0.67,0.189,0.481,1.19678651573583e-183,2.87348442428174e-179,"7"
"BRIP1",2.58696959534536,0.134,0.032,0.102,3.72961897429979e-34,8.9548151572938e-30,"7"
"WDR76",2.55551742696436,0.266,0.06,0.206,4.48196412594358e-75,1.07611958663905e-70,"7"
"TPRG1",2.55223425813869,0.134,0.025,0.109,1.74557179004872e-44,4.19111786790697e-40,"7"
"FANCI",2.54546972348888,0.186,0.042,0.144,3.85589519201688e-50,9.25800435603252e-46,"7"
"AGT",2.53197301969018,0.266,0.069,0.197,2.55101847059744e-62,6.12499534790446e-58,"7"
"TYMS",2.48232586403139,0.428,0.111,0.317,3.42521354308877e-110,8.22393771695614e-106,"7"
"TCF19",2.47156092122615,0.175,0.044,0.131,8.46315310858767e-42,2.0320030613719e-37,"7"
"FBLN1",2.47132187595264,0.231,0.055,0.176,2.13450405516751e-59,5.12494423645718e-55,"7"
"MCM2",2.47027223697156,0.307,0.075,0.232,1.53647604685047e-79,3.68907898848798e-75,"7"
"IL1RN",13.6227699775794,0.104,0,0.104,4.44557826707631e-194,1.06738334192502e-189,"8"
"LILRB2",13.4380879442606,0.11,0,0.11,4.21414207447666e-206,1.01181551208185e-201,"8"
"OSM",13.2249317177417,0.169,0,0.169,1.56528669621006e-302,3.75825335760034e-298,"8"
"ABI3",13.220253458046,0.104,0,0.104,4.44557826707631e-194,1.06738334192502e-189,"8"
"GAPT",13.1678858817623,0.11,0,0.11,4.21414207447666e-206,1.01181551208185e-201,"8"
"P2RY13",13.0759933044478,0.104,0,0.104,4.44557826707631e-194,1.06738334192502e-189,"8"
"CYTH4",11.3146714471005,0.13,0,0.13,2.08531559195519e-230,5.0068427362844e-226,"8"
"LILRB1",11.0101166451175,0.221,0,0.221,0,0,"8"
"ADORA3",10.9819851939755,0.13,0,0.13,2.08531559195519e-230,5.0068427362844e-226,"8"
"TFEC",10.948667075469,0.104,0,0.104,1.96728502412922e-182,4.72345134293427e-178,"8"
"CLEC4E",10.7916785917799,0.117,0,0.117,2.11804457017685e-206,5.08542501299463e-202,"8"
"TMIGD3",10.7594561395025,0.104,0,0.104,1.96728502412922e-182,4.72345134293427e-178,"8"
"MSR1",10.7583496682642,0.552,0,0.552,0,0,"8"
"CSF1R",10.5680784692795,0.208,0,0.208,0,0,"8"
"STAB1",10.5005390482304,0.597,0.001,0.596,0,0,"8"
"S100A8",10.1976722531458,0.136,0,0.136,2.28849010178344e-242,5.49466473438205e-238,"8"
"C1QA",10.002591980328,0.805,0.001,0.804,0,0,"8"
"HAMP",9.97286822917231,0.13,0,0.13,1.20775026164142e-219,2.89980837820104e-215,"8"
"CXorf21",9.97198151636865,0.136,0,0.136,2.31710693221846e-242,5.56337374425653e-238,"8"
"TREM2",9.86750853481698,0.435,0.001,0.434,0,0,"8"
"MS4A7",9.78658845968237,0.643,0.001,0.642,0,0,"8"
"SLCO2B1",9.72846645610422,0.396,0.001,0.395,0,0,"8"
"EVI2B",9.70161018161908,0.279,0.001,0.278,0,0,"8"
"ADAM28",9.70054886638277,0.305,0,0.305,0,0,"8"
"LAPTM5",9.56317631420696,0.76,0.002,0.758,0,0,"8"
"VSIG4",9.54891835135863,0.169,0,0.169,2.06275263830631e-302,4.95266908457344e-298,"8"
"CD4",9.50256779609925,0.104,0,0.104,4.85775250835169e-172,1.16634637725524e-167,"8"
"LAIR1",9.42428832381003,0.416,0.001,0.415,0,0,"8"
"DOCK2",9.39319315621936,0.123,0,0.123,2.89081872760003e-189,6.94085576496767e-185,"8"
"ALOX5AP",9.3166879820358,0.545,0.002,0.543,0,0,"8"
"SFN",4.34402996053756,0.313,0.01,0.303,1.17261520841509e-151,2.81544911540463e-147,"9"
"S100A2",4.29456999484473,0.707,0.06,0.647,4.73678517300207e-149,1.1373021200378e-144,"9"
"ALDH3A1",4.29250636045481,0.929,0.118,0.811,2.05810125672054e-145,4.94150111738602e-141,"9"
