"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
8.73508353298589e-211,1.93235446368097,0.234,0.088,2.18944868754291e-206,"0","NCAN",0.146
0,1.87225274183952,0.809,0.275,0,"0","GFAP",0.534
2.00718127104392e-101,1.84792262949615,0.119,0.044,5.03099985587159e-97,"0","LIX1",0.075
0,1.75570231253174,0.888,0.392,0,"0","AQP4",0.496
1.56523838228736e-150,1.6563171058891,0.197,0.079,3.92327000520327e-146,"0","PLP1",0.118
1.68742338442477e-99,1.60221748264544,0.164,0.075,4.22952671306069e-95,"0","DCLK1",0.089
6.19165889793247e-266,1.55916636519,0.303,0.115,1.55193930276677e-261,"0","ID3",0.188
1.8804024578644e-93,1.55384145076671,0.14,0.059,4.71322876063711e-89,"0","FAM107A",0.081
7.65451858754043e-177,1.52669627625652,0.313,0.159,1.91860508396701e-172,"0","HMGCS1",0.154
1.16900051088584e-132,1.51447072447773,0.207,0.092,2.93009978053535e-128,"0","F3",0.115
1.89288001115578e-142,1.49523053275494,0.249,0.121,4.74450374796195e-138,"0","MSMO1",0.128
1.46592743912215e-136,1.48114739646399,0.18,0.071,3.67434712615968e-132,"0","CCL2",0.109
2.62205002892908e-76,1.4588014616127,0.128,0.057,6.57216839751074e-72,"0","FGF1",0.071
0,1.44292523643732,0.903,0.634,0,"0","SPARCL1",0.269
7.09892319274598e-117,1.42469387955611,0.193,0.087,1.77934509826178e-112,"0","GJA1",0.106
0,1.42170154194269,0.787,0.419,0,"0","PMP2",0.368
2.57262968595593e-57,1.3945025192565,0.121,0.06,6.44829630784853e-53,"0","DKK3",0.061
1.83555889241754e-216,1.38584027639677,0.349,0.169,4.60082836384457e-212,"0","NMB",0.18
3.65745244599935e-210,1.37824975703262,0.347,0.169,9.16740455589736e-206,"0","AGT",0.178
1.29055075163118e-68,1.35484701814679,0.141,0.069,3.23476545896355e-64,"0","SYNM",0.072
4.11938202713322e-152,1.34423604056255,0.312,0.17,1.03252310510094e-147,"0","ADD3",0.142
2.16987622664369e-126,1.34139041903926,0.251,0.129,5.4387947620824e-122,"0","TTYH1",0.122
6.26915853364385e-42,1.33007239174326,0.107,0.057,1.57136458645783e-37,"0","B3GAT2",0.05
3.19041417897982e-114,1.32283364840757,0.243,0.128,7.99677313961291e-110,"0","FADS2",0.115
1.84733042984767e-57,1.32087793672173,0.135,0.071,4.63033372241319e-53,"0","GRAMD3",0.064
2.81819573664066e-42,1.310825951128,0.102,0.053,7.06380761388981e-38,"0","CDO1",0.049
0,1.28481795492981,0.993,0.866,0,"0","CLU",0.127
1.47824261945308e-41,1.27129775692758,0.101,0.053,3.70521512565914e-37,"0","ECM2",0.048
1.66826397181989e-63,1.27116906232205,0.15,0.078,4.18150364536656e-59,"0","NNMT",0.072
7.4242761502927e-59,1.27071512841359,0.147,0.079,1.86089481707087e-54,"0","SNCAIP",0.068
1.62759678437272e-68,1.16552409754608,0.293,0.187,4.07957134003023e-64,"1","POSTN",0.106
1.97935048182607e-06,1.00001948541656,0.112,0.094,0.0496124198269704,"1","KLHL4",0.018
1.07843593353367e-13,0.987118415721674,0.14,0.106,2.70309966740215e-09,"1","PKIB",0.034
2.15874193404996e-23,0.970214554046621,0.209,0.158,5.41088665769621e-19,"1","CD82",0.051
7.94047687799529e-14,0.950373068662071,0.177,0.144,1.99028052946952e-09,"1","STK17A",0.033
2.12681060107494e-07,0.950372116988523,0.128,0.107,0.00533085077159434,"1","SPATA6",0.021
2.16341667528941e-07,0.892010149323167,0.153,0.132,0.00542260389661291,"1","ARL4A",0.021
1.25887121501485e-10,0.886811754777784,0.156,0.127,3.15536070043472e-06,"1","METTL7B",0.029
7.14870004560693e-21,0.885092984997583,0.266,0.228,1.79182166643138e-16,"1","EPN2",0.038
0,0.791137870660264,0.938,0.845,0,"1","DBI",0.093
