"CellType","PValue","FDR"
"Macrophages/Microglia cells",0,0
"Endothelial cells",0,0
"OPCs",1.39209133305794e-55,1.94892786628111e-55
"Proliferation",NA,NA
"Neurons",0.871130667530078,0.871130667530078
"Cytokines",0,0
"Mural cells",0,0
"Epithelial cells",7.67120950872658e-07,8.94974442684768e-07
