"CellID","Interval","BaselineCellType","TargetCellType","Changed"
44209,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
44210,"TF1→TF2","Neutrophils","Neurons",TRUE
44211,"TF1→TF2","Macrophages/Microglia cells","Endothelial cells",TRUE
44212,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
44213,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
44214,"TF1→TF2","Fibroblasts","Astrocytes",TRUE
44215,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
44216,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
44217,"TF1→TF2","Astrocytes","Fibroblasts",TRUE
44218,"TF1→TF2","Neutrophils","Proliferation",TRUE
44219,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
44220,"TF1→TF2","Neutrophils","Neutrophils",FALSE
44221,"TF1→TF2","Neutrophils","Astrocytes",TRUE
44222,"TF1→TF2","Neutrophils","Astrocytes",TRUE
44223,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
44224,"TF1→TF2","Macrophages/Microglia cells","Astrocytes",TRUE
44225,"TF1→TF2","Macrophages/Microglia cells","Fibroblasts",TRUE
44226,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
44227,"TF1→TF2","Fibroblasts","Neurons",TRUE
44228,"TF1→TF2","Macrophages/Microglia cells","Fibroblasts",TRUE
44229,"TF1→TF2","Astrocytes","Endothelial cells",TRUE
44230,"TF1→TF2","Neutrophils","Astrocytes",TRUE
44231,"TF1→TF2","Astrocytes","Fibroblasts",TRUE
44232,"TF1→TF2","Neutrophils","Fibroblasts",TRUE
44233,"TF1→TF2","Fibroblasts","Neurons",TRUE
44234,"TF1→TF2","Astrocytes","Neutrophils",TRUE
44235,"TF1→TF2","Neutrophils","Neurons",TRUE
44236,"TF1→TF2","Astrocytes","Astrocytes",FALSE
44237,"TF1→TF2","Neutrophils","Endothelial cells",TRUE
44238,"TF1→TF2","Neutrophils","Neurons",TRUE
44239,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
44240,"TF1→TF2","Neutrophils","Astrocytes",TRUE
44241,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
44242,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
44243,"TF1→TF2","Endothelial cells","Endothelial cells",FALSE
