"CellType","Interval","AWCD","NormalizedAWCD","Dispersion_T1","Dispersion_T2","DispersionChange","PercentDispersionChange","TotalAbundance_T1","TotalAbundance_T2"
"Astrocytes","TF0→TF1",745.683075557838,0.0612945357911137,3182.28647793524,3225.39061615156,43.1041382163139,1.3545021328275,15.5653074350245,119.491610391398
"Astrocytes","TF1→TF2",881.94945778029,0.0724955203863606,3225.39061615156,3002.54600139184,-222.844614759723,-6.90907369928468,119.491610391398,66.5907693964969
"Endothelial.cells","TF0→TF1",60.260441410031,0.00495335874430607,3069.03928981105,3071.63987660229,2.60058679123813,0.0847361843776928,687.017561228126,223.009918949344
"Endothelial.cells","TF1→TF2",38.7499288591024,0.00318521229622991,3071.63987660229,3152.76000521571,81.1201286134201,2.6409387777304,223.009918949344,1391.95208941284
"Epithelial.cells","TF0→TF1",2183.59989236021,0.179490116033032,3177.00977348238,2926.67905737822,-250.330716104161,-7.87944431879316,0.891990077631667,27.3209125279889
"Epithelial.cells","TF1→TF2",423.900753537301,0.0348442934555471,2926.67905737822,3055.97318385798,129.294126479763,4.41777605077023,27.3209125279889,34.7931199309234
"Fibroblasts","TF0→TF1",162.01507354645,0.0133175058542985,3220.34184861948,3198.50536458648,-21.8364840330005,-0.67807969027765,1320.55984579868,438.135901836947
"Fibroblasts","TF1→TF2",632.267230813012,0.0519718465912944,3198.50536458648,3271.68700358235,73.1816389958708,2.28799488055047,438.135901836947,288.670694799224
"Macrophages.Microglia.cells","TF0→TF1",51.4501617548983,0.00422916099951044,3238.88299604583,3202.52170240879,-36.3612936370437,-1.12264918743391,599.41358549208,912.57910180796
"Mesenchymal.cells","TF0→TF1",152.959231978567,0.0125731231221492,3284.81380004462,3207.47510553349,-77.3386945111242,-2.3544316122294,402.053964055089,363.865610242938
"Neurons","TF0→TF1",730.714110949812,0.060064099206193,3181.6687566637,3227.85887221824,46.1901155545397,1.45175752371453,151.061798839495,370.165961744206
"Neurons","TF1→TF2",582.41603363814,0.0478741191657668,3227.85887221824,3293.02220529076,65.163333072524,2.01877887640554,370.165961744206,879.387206847825
"Neutrophils","TF0→TF1",485.472408629815,0.0399054328866155,3348.7832916363,3254.52271309463,-94.2605785416708,-2.81477092820816,36.3809088628714,390.479558230193
"Neutrophils","TF1→TF2",233.790737238827,0.0192174064036467,3254.52271309463,3177.90197098288,-76.6207421117456,-2.35428506316643,390.479558230193,627.58439874331
"Oligodendrocytes","TF0→TF1",826.01929705491,0.0678981071544458,3154.01552534908,3198.96215596231,44.9466306132263,1.42506053797093,78.0187534148558,444.352904941941
"Proliferation","TF0→TF1",1361.87725192987,0.111945190520882,3383.2825378858,3259.74640275829,-123.536135127514,-3.65136915832962,0.0362847961451321,1.59851932708404
"Proliferation","TF1→TF2",413.090999082926,0.033955740526005,3259.74640275829,3565.13664849084,305.390245732555,9.36852773191634,1.59851932708404,2.02172086938147
