"CellID","Interval","BaselineCellType","TargetCellType","Changed"
89,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
90,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
91,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
92,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
93,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
94,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
95,"TF0→TF1","Cardiomyocytes","Endocardial cells",TRUE
96,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
97,"TF0→TF1","Cardiomyocytes","TMSB4X high cells",TRUE
98,"TF0→TF1","Cardiomyocytes","Fibroblast cells",TRUE
99,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
100,"TF0→TF1","Cardiomyocytes","Valve cells",TRUE
101,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
102,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
103,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
104,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
105,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
106,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
107,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
108,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
109,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
110,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
111,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
112,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
113,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
114,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
115,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
116,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
117,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
118,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
119,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
120,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
121,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
122,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
123,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
124,"TF0→TF1","TMSB4X high cells","Cardiomyocytes",TRUE
125,"TF0→TF1","TMSB4X high cells","Cardiomyocytes",TRUE
126,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
127,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
128,"TF0→TF1","TMSB4X high cells","Cardiomyocytes",TRUE
129,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
130,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
131,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
132,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
133,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
134,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
135,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
136,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
137,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
138,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
139,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
140,"TF0→TF1","Endocardial cells","Cardiomyocytes",TRUE
141,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
142,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
143,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
144,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
145,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
146,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
147,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
148,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
149,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
