"Interval","MeanAWCD","SDAWCD","MeanNormalizedAWCD","MeanDispersionChange","MeanPercentDispersionChange","N"
"TF0→TF1",1486.22464705215,819.552772547374,0.0811273494484552,679.577165890745,23.503038156896,12
"TF1→TF2",368.476007148752,300.632199181812,0.0201137034395308,-47.8577929711283,-1.02851267010468,12
"TF2→TF3",512.839490280743,313.899391554865,0.0279939567827081,-53.2127423287737,-1.24523826736447,12
