"BaselineCellType","Interval","N","NChanged","ProportionChanged","SE"
"Astrocytes","TF0→TF1",24192,623,0.0257523148148148,0.00101837315100591
"Astrocytes","TF1→TF2",62910,33589,0.533921475123192,0.00198887916571233
"Endothelial cells","TF0→TF1",3481,3362,0.96581442114335,0.00307975593143506
"Endothelial cells","TF1→TF2",1264,846,0.669303797468354,0.0132328293376999
"Macrophages/Microglia cells","TF0→TF1",37856,36458,0.963070583262891,0.000969277031489113
"Macrophages/Microglia cells","TF1→TF2",1637,579,0.353695784972511,0.0118170506390753
"Neurons","TF0→TF1",17,10,0.588235294117647,0.119364624987269
"Neurons","TF1→TF2",8,0,0,0
"OPCs","TF0→TF1",274,274,1,0
"OPCs","TF1→TF2",1,1,1,0
