"CellType","Interval","AWCD","NormalizedAWCD","Dispersion_T1","Dispersion_T2","DispersionChange","PercentDispersionChange","TotalAbundance_T1","TotalAbundance_T2"
"Astrocytes","TF0→TF1",211.781940142013,0.0174083013755342,3197.39779385183,3244.49539376986,47.0975999180291,1.47299782368623,661.553297272754,2459.93563167765
"Astrocytes","TF1→TF2",676.592503414655,0.0556153475597183,3244.49539376986,3187.26415955096,-57.231234218898,-1.76394869688502,2459.93563167765,33.3694828565647
"Endothelial.cells","TF0→TF1",526.371926979199,0.0432673396717873,2821.88122971494,2991.04126474573,169.16003503079,5.99458379925787,71.8372752398514,268.807158516319
"Endothelial.cells","TF1→TF2",472.376508590093,0.0388289606693789,2991.04126474573,3115.06269121045,124.021426464722,4.14642980444687,268.807158516319,1375.22796212262
"Epithelial.cells","TF0→TF1",545.434010035664,0.0448342272282517,1849.15786091788,1900.93106700255,51.773206084674,2.7998261900136,3.38813724901309,32.4772320097213
"Epithelial.cells","TF1→TF2",2361.31400696601,0.194098070156361,1900.93106700255,3325.8378959527,1424.90682895015,74.958364018796,32.4772320097213,65.8648216162612
"Macrophages.Microglia.cells","TF0→TF1",147.885884153587,0.0121560981016921,3220.3427736467,3187.73051803792,-32.6122556087817,-1.01269516635497,875.427692606421,338.654865340191
"Macrophages.Microglia.cells","TF1→TF2",413.788390493648,0.0340130655266468,3187.73051803792,3192.25062136057,4.52010332265445,0.141796908398537,338.654865340191,434.247545535642
"Mesenchymal.cells","TF0→TF1",513.181295434184,0.0421830806026935,3230.4797174836,3135.63171837027,-94.8479991133249,-2.93603450286347,289.772218725312,149.085265065485
"Mesenchymal.cells","TF1→TF2",512.831031155662,0.0421542891669484,3135.63171837027,3368.07035241327,232.438634042991,7.41281677568309,149.085265065485,49.0153780144197
"Neutrophils","TF0→TF1",839.021087182713,0.0689668436142897,3228.37580756148,3157.05268749329,-71.3231200681839,-2.20925704811477,1388.49457249429,40.0824450110289
"Neutrophils","TF1→TF2",721.098057030538,0.0592736674793052,3157.05268749329,3310.1125163409,153.059828847609,4.84818734428976,40.0824450110289,1302.39138058709
"OPCs","TF0→TF1",83.4727808193631,0.00686139396108554,1939.98685466887,2166.4338719557,226.447017286832,11.6726057571913,0.19008857958604,1.66781887881273
"OPCs","TF1→TF2",2200.25052139703,0.180858784051518,2166.4338719557,3279.70307902689,1113.26920707119,51.3871769400566,1.66781887881273,24.7182653310629
"Proliferation","TF0→TF1",1050.61733719324,0.0863598814136697,2988.21844292149,3078.8918072457,90.6733643242046,3.03436198042992,0.336717832777056,0.289583500789122
"Proliferation","TF1→TF2",1701.09921597207,0.139828957093647,3078.8918072457,3119.21392558489,40.3221183391906,1.30963089525584,0.289583500789122,6.16516393633695
