"Sample","n_spatial_spots","n_reference_cells","Proliferation","Macrophages/Microglia cells","OPCs","Neurons","Endothelial cells","Astrocytes","Oligodendrocytes","Cytokines","Epithelial cells","Mural cells","Fibroblasts","Neutrophils","Mesenchymal cells"
"8036_Tumor",3291,2749,4.29785908283293,1262.35926295985,2.84617599832632,18.9992092978582,392.171500855482,1206.63318079498,403.692811010671,NA,NA,NA,NA,NA,NA
"8036_2wk",3291,2152,0.218257817845684,707.676675493382,0.120615607531584,1.40345051680319,459.603407608331,2035.21130568464,86.7662872714659,NA,NA,NA,NA,NA,NA
"8036_8wk",3291,3616,19.449538065735,912.643044183422,26.9771469698943,21.0725225804566,654.195736189679,1016.54384001453,640.118171996279,NA,NA,NA,NA,NA,NA
"8165C_Tumor",3291,3109,6.20529468425155,553.911976581801,675.029023613814,290.915728492624,461.274710727539,NA,NA,494.486442118499,305.839327403585,503.337496377887,NA,NA,NA
"8165C_2wk",3291,1913,1.08593663860996,1192.1542036105,801.680972806965,6.10885311528166,484.832388068036,NA,NA,28.6803454072719,1.46192966862201,774.995370684713,NA,NA,NA
"8165C_24wk",3291,3061,1.18949009064092,NA,2525.37951009257,22.1299591713067,171.161979096782,NA,NA,355.277919451352,205.134931869732,10.7262102276153,NA,NA,NA
"8165PV_Tumor",3291,2647,0.0362847961451321,599.41358549208,NA,151.061798839495,687.017561228126,15.5653074350245,78.0187534148558,NA,0.891990077631667,NA,1320.55984579868,36.3809088628714,402.053964055089
"8165PV_2wk",3291,3281,1.59851932708404,912.57910180796,NA,370.165961744206,223.009918949344,119.491610391398,444.352904941941,NA,27.3209125279889,NA,438.135901836947,390.479558230193,363.865610242938
"8165PV_24wk",3291,2712,2.02172086938147,NA,NA,879.387206847825,1391.95208941284,66.5907693964969,NA,NA,34.7931199309234,NA,288.670694799224,627.58439874331,NA
"8167_Tumor",3291,10453,0.336717832777056,875.427692606421,0.19008857958604,NA,71.8372752398514,661.553297272754,NA,NA,3.38813724901309,NA,NA,1388.49457249429,289.772218725312
"8167_2wk",3291,11852,0.289583500789122,338.654865340191,1.66781887881273,NA,268.807158516319,2459.93563167765,NA,NA,32.4772320097213,NA,NA,40.0824450110289,149.085265065485
"8167_24wk",3291,2878,6.16516393633695,434.247545535642,24.7182653310629,NA,1375.22796212262,33.3694828565647,NA,NA,65.8648216162612,NA,NA,1302.39138058709,49.0153780144197
